t,y1b3,y1b13,y2b3,y2b13
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.333333e-02,-8.048716e-06,-2.187894e-06,-4.747823e-07,-6.780632e-06
6.666667e-02,-1.778648e-05,-4.873002e-06,-5.429473e-07,-1.437371e-05
1.000000e-01,-2.156644e-05,-5.905404e-06,3.740419e-07,-1.620100e-05
1.333333e-01,-2.025810e-05,-5.536803e-06,1.910487e-06,-1.333974e-05
1.666667e-01,-1.678794e-05,-4.711320e-06,3.366018e-06,-8.802409e-06
2.000000e-01,-1.367641e-05,-4.295583e-06,4.086935e-06,-5.220055e-06
2.333333e-01,-1.234050e-05,-4.776468e-06,3.728813e-06,-4.034201e-06
2.666667e-01,-1.313577e-05,-6.216626e-06,2.358742e-06,-5.431293e-06
3.000000e-01,-1.567762e-05,-8.359262e-06,3.855680e-07,-8.670671e-06
3.333333e-01,-1.922452e-05,-1.080195e-05,-1.630585e-06,-1.258315e-05
3.666667e-01,-2.300961e-05,-1.317000e-05,-3.200083e-06,-1.605971e-05
4.000000e-01,-2.646213e-05,-1.523690e-05,-4.069739e-06,-1.839529e-05
4.333333e-01,-2.930099e-05,-1.696645e-05,-4.280621e-06,-1.942074e-05
4.666667e-01,-3.151654e-05,-1.848062e-05,-4.113401e-06,-1.943106e-05
5.000000e-01,-3.327944e-05,-1.998004e-05,-3.958130e-06,-1.897870e-05
5.333333e-01,-3.482406e-05,-2.165404e-05,-4.166057e-06,-1.862837e-05
5.666667e-01,-3.634824e-05,-2.361278e-05,-4.937743e-06,-1.876177e-05
6.000000e-01,-3.795490e-05,-2.586016e-05,-6.279960e-06,-1.948608e-05
6.333333e-01,-3.964198e-05,-2.830845e-05,-8.034530e-06,-2.065449e-05
6.666667e-01,-4.133049e-05,-3.082153e-05,-9.957114e-06,-2.196849e-05
7.000000e-01,-4.291144e-05,-3.326630e-05,-1.181077e-05,-2.311073e-05
7.333333e-01,-4.429113e-05,-3.555322e-05,-1.344035e-05,-2.385756e-05
