ws4,svs4
1.591549e-03,1.018383e+00
1.859464e-03,1.018326e+00
2.172477e-03,1.018248e+00
2.538182e-03,1.018144e+00
2.965449e-03,1.018003e+00
3.464639e-03,1.017816e+00
4.047860e-03,1.017567e+00
4.729259e-03,1.017241e+00
5.525361e-03,1.016817e+00
6.455476e-03,1.016275e+00
7.542161e-03,1.015594e+00
8.811775e-03,1.014752e+00
1.029511e-02,1.013735e+00
1.202814e-02,1.012531e+00
1.405290e-02,1.011136e+00
1.641851e-02,1.009555e+00
1.918232e-02,1.007805e+00
2.241139e-02,1.005918e+00
2.618402e-02,1.003948e+00
3.059172e-02,1.001970e+00
3.574139e-02,1.000079e+00
4.175794e-02,9.983778e-01
4.878728e-02,9.969775e-01
5.699991e-02,9.960043e-01
6.659502e-02,9.956592e-01
7.780532e-02,9.963976e-01
9.090272e-02,9.994124e-01
1.062049e-01,1.007861e+00
1.240829e-01,1.027412e+00
1.449705e-01,1.057517e+00
1.693742e-01,1.088163e+00
1.978858e-01,1.111626e+00
2.311971e-01,1.124467e+00
2.701157e-01,1.126233e+00
3.155858e-01,1.118709e+00
3.397152e-01,1.112772e+00
3.808946e-01,1.101636e+00
4.202123e-01,1.091066e+00
4.571937e-01,1.081821e+00
4.915325e-01,1.074085e+00
5.230667e-01,1.067819e+00
5.517515e-01,1.062971e+00
5.776324e-01,1.059718e+00
5.827852e-01,1.059303e+00
6.008205e-01,1.059327e+00
6.249393e-01,1.071869e+00
6.542533e-01,1.098561e+00
6.901324e-01,1.101765e+00
7.344077e-01,1.086752e+00
7.895674e-01,1.067092e+00
8.590545e-01,1.049231e+00
9.477300e-01,1.034814e+00
1.062611e+00,1.023749e+00
1.090293e+00,1.021849e+00
1.143935e+00,1.018740e+00
1.164486e+00,1.017717e+00
1.243729e+00,1.014473e+00
1.339471e+00,1.014061e+00
1.456178e+00,1.016057e+00
1.599870e+00,1.014952e+00
1.717405e+00,1.012599e+00
1.914542e+00,1.008496e+00
2.103298e+00,1.005799e+00
2.281586e+00,1.004090e+00
2.350302e+00,1.003575e+00
2.350376e+00,1.003575e+00
2.448011e+00,1.002962e+00
2.601787e+00,1.002230e+00
2.742626e+00,1.001752e+00
2.870634e+00,1.001437e+00
2.870697e+00,1.001436e+00
3.004616e+00,1.001184e+00
3.167261e+00,1.000931e+00
3.366218e+00,1.000692e+00
3.611760e+00,1.000493e+00
3.917913e+00,1.000339e+00
4.304183e+00,1.000224e+00
4.798250e+00,1.000140e+00
5.191988e+00,1.000100e+00
6.065983e+00,1.000052e+00
7.087104e+00,1.000028e+00
8.280115e+00,1.000015e+00
9.673952e+00,1.000008e+00
1.130242e+01,1.000004e+00
1.320502e+01,1.000002e+00
1.542789e+01,1.000001e+00
1.802495e+01,1.000001e+00
2.105919e+01,1.000000e+00
2.460420e+01,1.000000e+00
2.874596e+01,1.000000e+00
3.358493e+01,1.000000e+00
3.923847e+01,1.000000e+00
4.584369e+01,1.000000e+00
5.356081e+01,1.000000e+00
6.257700e+01,1.000000e+00
7.311093e+01,1.000000e+00
8.541809e+01,1.000000e+00
9.979699e+01,1.000000e+00
1.165964e+02,1.000000e+00
1.362237e+02,1.000000e+00
1.591549e+02,1.000000e+00
