t,y1b3,y1b13,y2b3,y2b13
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.333333e-02,-3.784862e-04,-1.188143e-04,-2.447925e-04,-5.872476e-04
6.666667e-02,-5.626053e-04,-1.736232e-04,-3.704235e-04,-8.815336e-04
1.000000e-01,-5.977721e-04,-1.662624e-04,-3.897292e-04,-9.467405e-04
1.333333e-01,-5.342546e-04,-1.144632e-04,-3.352859e-04,-8.595857e-04
1.666667e-01,-4.242940e-04,-4.506361e-05,-2.515596e-04,-7.041983e-04
2.000000e-01,-3.127637e-04,1.590756e-05,-1.812121e-04,-5.552528e-04
2.333333e-01,-2.293820e-04,5.121156e-05,-1.533364e-04,-4.630530e-04
2.666667e-01,-1.857482e-04,5.599649e-05,-1.777373e-04,-4.468946e-04
3.000000e-01,-1.775462e-04,3.670368e-05,-2.461303e-04,-4.979218e-04
3.333333e-01,-1.903618e-04,6.610503e-06,-3.385687e-04,-5.890186e-04
3.666667e-01,-2.067373e-04,-1.986000e-05,-4.320423e-04,-6.874613e-04
4.000000e-01,-2.122259e-04,-3.199884e-05,-5.081402e-04,-7.660812e-04
4.333333e-01,-1.989982e-04,-2.548579e-05,-5.576202e-04,-8.100433e-04
4.666667e-01,-1.665945e-04,-2.505466e-06,-5.811526e-04,-8.182895e-04
5.000000e-01,-1.203302e-04,3.018642e-05,-5.868472e-04,-8.004965e-04
5.333333e-01,-6.841436e-05,6.420860e-05,-5.860287e-04,-7.715320e-04
5.666667e-01,-1.895204e-05,9.238362e-05,-5.889460e-04,-7.456721e-04
6.000000e-01,2.225824e-05,1.106034e-04,-6.017465e-04,-7.323836e-04
6.333333e-01,5.268260e-05,1.183646e-04,-6.253700e-04,-7.345754e-04
6.666667e-01,7.279754e-05,1.180958e-04,-6.562800e-04,-7.492670e-04
7.000000e-01,8.500893e-05,1.137439e-04,-6.884108e-04,-7.699003e-04
7.333333e-01,9.228141e-05,1.092114e-04,-7.154713e-04,-7.892059e-04
7.666667e-01,9.696884e-05,1.071527e-04,-7.328290e-04,-8.016198e-04
8.000000e-01,1.001541e-04,1.084183e-04,-7.384967e-04,-8.046192e-04
8.333333e-01,1.015757e-04,1.121729e-04,-7.331219e-04,-7.988178e-04
8.666667e-01,1.000210e-04,1.165066e-04,-7.192045e-04,-7.870808e-04
9.000000e-01,9.395096e-05,1.192439e-04,-6.999502e-04,-7.731525e-04
9.333333e-01,8.210967e-05,1.186654e-04,-6.781879e-04,-7.603290e-04
9.666667e-01,6.393158e-05,1.139424e-04,-6.556620e-04,-7.505672e-04
1.000000e+00,3.966900e-05,1.052172e-04,-6.328306e-04,-7.442037e-04
1.033333e+00,1.026383e-05,9.338419e-05,-6.091131e-04,-7.402278e-04
1.066667e+00,-2.293958e-05,7.970271e-05,-5.834137e-04,-7.369007e-04
1.100000e+00,-5.851850e-05,6.539488e-05,-5.546978e-04,-7.324539e-04
1.133333e+00,-9.522904e-05,5.135161e-05,-5.224342e-04,-7.256389e-04
1.166667e+00,-1.321378e-04,3.800877e-05,-4.868007e-04,-7.159971e-04
1.200000e+00,-1.686224e-04,2.539086e-05,-4.486403e-04,-7.038340e-04
1.233333e+00,-2.042761e-04,1.326929e-05,-4.092379e-04,-6.899759e-04
1.266667e+00,-2.387739e-04,1.360205e-06,-3.700204e-04,-6.754340e-04
1.300000e+00,-2.717550e-04,-1.050824e-05,-3.322872e-04,-6.611006e-04
1.333333e+00,-3.027580e-04,-2.230367e-05,-2.970401e-04,-6.475614e-04
1.366667e+00,-3.312210e-04,-3.378414e-05,-2.649377e-04,-6.350554e-04
1.400000e+00,-3.565330e-04,-4.456242e-05,-2.363562e-04,-6.235572e-04
1.433333e+00,-3.781132e-04,-5.420526e-05,-2.115089e-04,-6.129279e-04
1.466667e+00,-3.954862e-04,-6.233055e-05,-1.905721e-04,-6.030695e-04
1.500000e+00,-4.083332e-04,-6.867397e-05,-1.737735e-04,-5.940317e-04
1.533333e+00,-4.165071e-04,-7.311247e-05,-1.614225e-04,-5.860466e-04
1.566667e+00,-4.200158e-04,-7.564769e-05,-1.538831e-04,-5.794934e-04
1.600000e+00,-4.189828e-04,-7.636358e-05,-1.515098e-04,-5.748161e-04
1.633333e+00,-4.136026e-04,-7.537702e-05,-1.545716e-04,-5.724273e-04
1.666667e+00,-4.041024e-04,-7.279786e-05,-1.631893e-04,-5.726285e-04
1.700000e+00,-3.907195e-04,-6.870798e-05,-1.773026e-04,-5.755639e-04
1.733333e+00,-3.736952e-04,-6.316111e-05,-1.966688e-04,-5.812135e-04
1.766667e+00,-3.532821e-04,-5.619821e-05,-2.208888e-04,-5.894191e-04
1.800000e+00,-3.297579e-04,-4.786990e-05,-2.494475e-04,-5.999256e-04
1.833333e+00,-3.034385e-04,-3.825687e-05,-2.817547e-04,-6.124250e-04
1.866667e+00,-2.746854e-04,-2.748221e-05,-3.171784e-04,-6.265889e-04
1.900000e+00,-2.439058e-04,-1.571314e-05,-3.550633e-04,-6.420859e-04
1.933333e+00,-2.115462e-04,-3.153562e-06,-3.947383e-04,-6.585840e-04
1.966667e+00,-1.780820e-04,9.968905e-06,-4.355154e-04,-6.757444e-04
2.000000e+00,-1.440063e-04,2.341682e-05,-4.766874e-04,-6.932140e-04
2.033333e+00,-1.098217e-04,3.695411e-05,-5.175289e-04,-7.106218e-04
2.066667e+00,-7.603517e-05,5.035255e-05,-5.573050e-04,-7.275846e-04
2.100000e+00,-4.315563e-05,6.339360e-05,-5.952853e-04,-7.437192e-04
2.133333e+00,-1.169402e-05,7.586696e-05,-6.307634e-04,-7.586610e-04
2.166667e+00,1.783757e-05,8.756818e-05,-6.630775e-04,-7.720819e-04
2.200000e+00,4.492874e-05,9.829723e-05,-6.916289e-04,-7.837069e-04
2.233333e+00,6.907685e-05,1.078594e-04,-7.158966e-04,-7.933235e-04
2.266667e+00,8.979667e-05,1.160687e-04,-7.354462e-04,-8.007852e-04
2.300000e+00,1.066328e-04,1.227538e-04,-7.499348e-04,-8.060090e-04
2.333333e+00,1.191740e-04,1.277642e-04,-7.591122e-04,-8.089688e-04
2.366667e+00,1.270676e-04,1.309769e-04,-7.628205e-04,-8.096868e-04
2.400000e+00,1.300336e-04,1.323014e-04,-7.609931e-04,-8.082256e-04
2.433333e+00,1.278764e-04,1.316836e-04,-7.536544e-04,-8.046812e-04
2.466667e+00,1.204956e-04,1.291068e-04,-7.409192e-04,-7.991773e-04
2.500000e+00,1.078930e-04,1.245928e-04,-7.229924e-04,-7.918612e-04
2.533333e+00,9.017814e-05,1.182010e-04,-7.001671e-04,-7.829004e-04
2.566667e+00,6.757116e-05,1.100274e-04,-6.728218e-04,-7.724791e-04
2.600000e+00,4.040279e-05,1.002027e-04,-6.414154e-04,-7.607942e-04
2.633333e+00,9.111767e-06,8.889138e-05,-6.064795e-04,-7.480515e-04
2.666667e+00,-2.576092e-05,7.628856e-05,-5.686099e-04,-7.344619e-04
2.700000e+00,-6.358093e-05,6.261792e-05,-5.284562e-04,-7.202375e-04
2.733333e+00,-1.036328e-04,4.812771e-05,-4.867104e-04,-7.055894e-04
2.766667e+00,-1.451351e-04,3.308625e-05,-4.440954e-04,-6.907257e-04
2.800000e+00,-1.872587e-04,1.777650e-05,-4.013529e-04,-6.758516e-04
2.833333e+00,-2.291465e-04,2.489927e-06,-3.592316e-04,-6.611692e-04
2.866667e+00,-2.699354e-04,-1.248004e-05,-3.184746e-04,-6.468786e-04
2.900000e+00,-3.087777e-04,-2.684463e-05,-2.798077e-04,-6.331781e-04
2.933333e+00,-3.448633e-04,-4.032625e-05,-2.439265e-04,-6.202645e-04
2.966667e+00,-3.774399e-04,-5.266449e-05,-2.114846e-04,-6.083327e-04
3.000000e+00,-4.058324e-04,-6.362169e-05,-1.830810e-04,-5.975736e-04
3.033333e+00,-4.294590e-04,-7.298774e-05,-1.592491e-04,-5.881718e-04
3.066667e+00,-4.478446e-04,-8.058423e-05,-1.404458e-04,-5.803025e-04
3.100000e+00,-4.606318e-04,-8.626780e-05,-1.270423e-04,-5.741275e-04
3.133333e+00,-4.675874e-04,-8.993266e-05,-1.193160e-04,-5.697906e-04
