w,w1Tiw,rhs940w
3.299157e+00,7.045651e-01,9.771234e-01
3.495656e+00,5.922170e-01,9.846611e-01
3.703858e+00,4.941576e-01,9.883927e-01
3.924460e+00,4.152202e-01,9.907144e-01
4.158202e+00,3.529127e-01,9.923425e-01
4.405865e+00,3.035190e-01,9.935636e-01
4.668279e+00,2.638554e-01,9.945216e-01
4.946323e+00,2.315195e-01,9.952978e-01
5.240927e+00,2.047625e-01,9.959421e-01
5.553077e+00,1.823173e-01,9.964866e-01
5.883819e+00,1.632586e-01,9.969531e-01
6.234261e+00,1.469019e-01,9.973567e-01
6.605574e+00,1.327337e-01,9.977083e-01
6.999004e+00,1.203626e-01,9.980160e-01
7.415865e+00,1.094859e-01,9.982859e-01
7.857556e+00,9.986624e-02,9.985228e-01
8.325553e+00,9.131466e-02,9.987308e-01
8.821425e+00,8.367882e-02,9.989130e-01
9.346830e+00,7.683430e-02,9.990722e-01
9.903529e+00,7.067828e-02,9.992110e-01
1.049339e+01,6.512483e-02,9.993315e-01
1.111837e+01,6.010141e-02,9.994358e-01
1.178059e+01,5.554618e-02,9.995255e-01
1.248224e+01,5.140605e-02,9.996025e-01
1.322568e+01,4.763505e-02,9.996682e-01
1.401341e+01,4.419319e-02,9.997240e-01
1.484805e+01,4.104547e-02,9.997713e-01
1.573240e+01,3.816115e-02,9.998111e-01
1.666943e+01,3.551315e-02,9.998444e-01
1.766226e+01,3.307752e-02,9.998723e-01
1.871423e+01,3.083308e-02,9.998955e-01
1.982885e+01,2.876103e-02,9.999147e-01
2.100986e+01,2.684470e-02,9.999305e-01
2.226121e+01,2.506925e-02,9.999436e-01
2.358709e+01,2.342151e-02,9.999543e-01
2.499194e+01,2.188973e-02,9.999630e-01
2.648047e+01,2.046345e-02,9.999702e-01
2.805765e+01,1.913334e-02,9.999760e-01
2.972877e+01,1.789108e-02,9.999807e-01
3.149942e+01,1.672923e-02,9.999845e-01
3.337553e+01,1.564116e-02,9.999876e-01
3.536338e+01,1.462091e-02,9.999900e-01
3.746963e+01,1.366317e-02,9.999920e-01
3.970133e+01,1.276317e-02,9.999936e-01
4.206595e+01,1.191666e-02,9.999949e-01
4.457140e+01,1.111979e-02,9.999959e-01
4.722608e+01,1.036917e-02,9.999968e-01
5.003888e+01,9.661702e-03,9.999974e-01
5.301920e+01,8.994659e-03,9.999979e-01
5.617704e+01,8.365581e-03,9.999984e-01
5.952295e+01,7.772271e-03,9.999987e-01
6.306815e+01,7.212762e-03,9.999990e-01
6.682450e+01,6.685293e-03,9.999992e-01
7.080458e+01,6.188281e-03,9.999993e-01
7.502171e+01,5.720301e-03,9.999995e-01
7.949002e+01,5.280060e-03,9.999996e-01
8.422446e+01,4.866376e-03,9.999997e-01
8.924088e+01,4.478157e-03,9.999997e-01
9.455608e+01,4.114381e-03,9.999998e-01
1.001879e+02,3.774078e-03,9.999998e-01
1.061551e+02,3.456312e-03,9.999999e-01
1.124777e+02,3.160171e-03,9.999999e-01
1.191769e+02,2.884753e-03,9.999999e-01
1.262751e+02,2.629158e-03,9.999999e-01
1.337960e+02,2.392484e-03,9.999999e-01
1.417650e+02,2.173822e-03,1.000000e+00
1.502085e+02,1.972255e-03,1.000000e+00
1.591549e+02,1.786864e-03,1.000000e+00
