wg4,svg4
1.591549e-03,1.003550e+00
1.859464e-03,1.003581e+00
2.172477e-03,1.003621e+00
2.538182e-03,1.003669e+00
2.965449e-03,1.003720e+00
3.464639e-03,1.003773e+00
4.047860e-03,1.003825e+00
4.729259e-03,1.003873e+00
5.525361e-03,1.003917e+00
6.455476e-03,1.003956e+00
7.542161e-03,1.003991e+00
8.811775e-03,1.004025e+00
1.029511e-02,1.004058e+00
1.202814e-02,1.004093e+00
1.405290e-02,1.004134e+00
1.641851e-02,1.004184e+00
1.918232e-02,1.004248e+00
2.241139e-02,1.004331e+00
2.618402e-02,1.004442e+00
3.059172e-02,1.004590e+00
3.574139e-02,1.004790e+00
4.175794e-02,1.005059e+00
4.878728e-02,1.005420e+00
5.699991e-02,1.005904e+00
6.659502e-02,1.006550e+00
7.780532e-02,1.007408e+00
9.090272e-02,1.008543e+00
1.062049e-01,1.010038e+00
1.240829e-01,1.011999e+00
1.449705e-01,1.014568e+00
1.693742e-01,1.017934e+00
1.978858e-01,1.022360e+00
2.311971e-01,1.028233e+00
2.701157e-01,1.036152e+00
3.155858e-01,1.047142e+00
3.526165e-01,1.057900e+00
3.923290e-01,1.071999e+00
4.287896e-01,1.088477e+00
4.617227e-01,1.108121e+00
4.910682e-01,1.132247e+00
5.169223e-01,1.163065e+00
5.394867e-01,1.204415e+00
5.590258e-01,1.263381e+00
5.758350e-01,1.354167e+00
5.902170e-01,1.508286e+00
6.024666e-01,1.801319e+00
6.128606e-01,2.371443e+00
6.204415e-01,2.871445e+00
6.216523e-01,2.894757e+00
6.305703e-01,2.459338e+00
6.414491e-01,1.884146e+00
6.547620e-01,1.578948e+00
6.711153e-01,1.419972e+00
6.912948e-01,1.330556e+00
7.163321e-01,1.278182e+00
7.476010e-01,1.248824e+00
7.869613e-01,1.237287e+00
8.404246e-01,1.247538e+00
8.906802e-01,1.286479e+00
9.345152e-01,1.364401e+00
9.724015e-01,1.495830e+00
1.004899e+00,1.700609e+00
1.032601e+00,2.016226e+00
1.056092e+00,2.511791e+00
1.075927e+00,3.320663e+00
1.092616e+00,4.733515e+00
1.106616e+00,7.508017e+00
1.112199e+00,9.733138e+00
1.118333e+00,1.396531e+01
1.125751e+00,2.220051e+01
1.128119e+00,2.339748e+01
1.137991e+00,1.430751e+01
1.150040e+00,7.842124e+00
1.161043e+00,5.549153e+00
1.164776e+00,5.067839e+00
1.182843e+00,3.665762e+00
1.205059e+00,2.876299e+00
1.232473e+00,2.405738e+00
1.266448e+00,2.113094e+00
1.308773e+00,1.925616e+00
1.361832e+00,1.810447e+00
1.428855e+00,1.751489e+00
1.514297e+00,1.740706e+00
1.624438e+00,1.778958e+00
1.768335e+00,1.881821e+00
1.797414e+00,1.909002e+00
1.936152e+00,2.073032e+00
1.959413e+00,2.106907e+00
2.041401e+00,2.243142e+00
2.138886e+00,2.441890e+00
2.188763e+00,2.559664e+00
2.281303e+00,2.805429e+00
2.411407e+00,3.186662e+00
2.529275e+00,3.483998e+00
2.635292e+00,3.585908e+00
2.745752e+00,3.436343e+00
2.879962e+00,2.990151e+00
3.044209e+00,2.370906e+00
3.246906e+00,1.771293e+00
3.499503e+00,1.284973e+00
3.817871e+00,9.181305e-01
4.224454e+00,6.478842e-01
4.443918e+00,5.513124e-01
5.191988e+00,3.489193e-01
6.065983e+00,2.296195e-01
7.087104e+00,1.547682e-01
8.280115e+00,1.059467e-01
9.673952e+00,7.332151e-02
1.130242e+01,5.117764e-02
1.320502e+01,3.598464e-02
1.542789e+01,2.547109e-02
1.802495e+01,1.813954e-02
2.105919e+01,1.298916e-02
2.460420e+01,9.345471e-03
2.874596e+01,6.750849e-03
3.358493e+01,4.892531e-03
3.923847e+01,3.554984e-03
4.584369e+01,2.588347e-03
5.356081e+01,1.887487e-03
6.257700e+01,1.378031e-03
7.311093e+01,1.006978e-03
8.541809e+01,7.363250e-04
9.979699e+01,5.386832e-04
1.165964e+02,3.942359e-04
1.362237e+02,2.885998e-04
1.591549e+02,2.113110e-04
