t,y1b3,y1b13,y2b3,y2b13
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.333333e-02,-8.137262e-06,-2.235569e-06,-4.933179e-07,-6.781681e-06
6.666667e-02,-1.824162e-05,-5.115825e-06,-7.513065e-07,-1.474828e-05
1.000000e-01,-2.291603e-05,-6.620615e-06,-3.905583e-07,-1.775829e-05
1.333333e-01,-2.299964e-05,-6.963268e-06,3.303738e-07,-1.671766e-05
1.666667e-01,-2.095597e-05,-6.814057e-06,1.156686e-06,-1.379316e-05
2.000000e-01,-1.868837e-05,-6.694141e-06,1.960369e-06,-1.059626e-05
2.333333e-01,-1.718123e-05,-6.872412e-06,2.711620e-06,-7.930950e-06
2.666667e-01,-1.672912e-05,-7.428184e-06,3.429669e-06,-6.016630e-06
3.000000e-01,-1.724739e-05,-8.337643e-06,4.148259e-06,-4.760950e-06
3.333333e-01,-1.850344e-05,-9.538169e-06,4.898218e-06,-3.955800e-06
3.666667e-01,-2.024928e-05,-1.096479e-05,5.701459e-06,-3.386530e-06
4.000000e-01,-2.228029e-05,-1.256584e-05,6.570841e-06,-2.878760e-06
4.333333e-01,-2.445055e-05,-1.430649e-05,7.512247e-06,-2.309313e-06
4.666667e-01,-2.666729e-05,-1.616650e-05,8.526993e-06,-1.600498e-06
5.000000e-01,-2.887816e-05,-1.813615e-05,9.613815e-06,-7.090430e-07
5.333333e-01,-3.105833e-05,-2.021225e-05,1.077024e-05,3.847871e-07
5.666667e-01,-3.320006e-05,-2.239497e-05,1.199344e-05,1.685809e-06
6.000000e-01,-3.530522e-05,-2.468562e-05,1.328070e-05,3.189992e-06
6.333333e-01,-3.738041e-05,-2.708517e-05,1.462965e-05,4.888394e-06
6.666667e-01,-3.943397e-05,-2.959343e-05,1.603835e-05,6.769573e-06
7.000000e-01,-4.147419e-05,-3.220852e-05,1.750527e-05,8.820988e-06
7.333333e-01,-4.350836e-05,-3.492669e-05,1.902936e-05,1.102980e-05
7.666667e-01,-4.554230e-05,-3.774221e-05,2.060990e-05,1.338329e-05
8.000000e-01,-4.758008e-05,-4.064739e-05,2.224655e-05,1.586913e-05
8.333333e-01,-4.962401e-05,-4.363271e-05,2.393922e-05,1.847542e-05
8.666667e-01,-5.167470e-05,-4.668693e-05,2.568810e-05,2.119080e-05
9.000000e-01,-5.373120e-05,-4.979729e-05,2.749353e-05,2.400436e-05
9.333333e-01,-5.579121e-05,-5.294970e-05,2.935600e-05,2.690559e-05
9.666667e-01,-5.785130e-05,-5.612900e-05,3.127606e-05,2.988430e-05
1.000000e+00,-5.990725e-05,-5.931922e-05,3.325425e-05,3.293050e-05
1.033333e+00,-6.195433e-05,-6.250383e-05,3.529107e-05,3.603424e-05
1.066667e+00,-6.398758e-05,-6.566607e-05,3.738690e-05,3.918551e-05
1.100000e+00,-6.600216e-05,-6.878920e-05,3.954191e-05,4.237412e-05
1.133333e+00,-6.799356e-05,-7.185679e-05,4.175609e-05,4.558961e-05
1.166667e+00,-6.995787e-05,-7.485299e-05,4.402912e-05,4.882122e-05
1.200000e+00,-7.189196e-05,-7.776280e-05,4.636037e-05,5.205784e-05
1.233333e+00,-7.379357e-05,-8.057227e-05,4.874889e-05,5.528810e-05
