t,lc1,lc2,lc3,lc4,c1,c2,c3,c4
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.333333e-02,-1.462697e-06,5.756569e-07,4.559108e-08,9.915673e-08,-1.467816e-06,5.781489e-07,4.581318e-08,9.959452e-08
6.666667e-02,-1.112662e-05,4.259495e-06,3.327197e-07,7.328684e-07,-1.118206e-05,4.279270e-06,3.342668e-07,7.363583e-07
1.000000e-01,-3.395348e-05,1.280338e-05,1.002519e-06,2.204842e-06,-3.405532e-05,1.283058e-05,1.004640e-06,2.210024e-06
1.333333e-01,-7.036024e-05,2.643685e-05,2.117876e-06,4.573788e-06,-7.055872e-05,2.647360e-05,2.121027e-06,4.581771e-06
1.666667e-01,-1.170788e-04,4.422882e-05,3.697729e-06,7.722390e-06,-1.173525e-04,4.424123e-05,3.699298e-06,7.727849e-06
2.000000e-01,-1.687275e-04,6.441349e-05,5.705384e-06,1.139811e-05,-1.689627e-04,6.431394e-05,5.692874e-06,1.138253e-05
2.333333e-01,-2.193751e-04,8.463490e-05,8.009051e-06,1.522489e-05,-2.194418e-04,8.432142e-05,7.964379e-06,1.516224e-05
2.666667e-01,-2.637471e-04,1.021880e-04,1.035409e-05,1.871804e-05,-2.635184e-04,1.015599e-04,1.024914e-05,1.857339e-05
3.000000e-01,-2.979437e-04,1.143135e-04,1.237575e-05,2.132826e-05,-2.973453e-04,1.133243e-04,1.218144e-05,2.106883e-05
3.333333e-01,-3.196854e-04,1.185449e-04,1.365629e-05,2.251793e-05,-3.185844e-04,1.171448e-04,1.333948e-05,2.210469e-05
3.666667e-01,-3.282048e-04,1.130583e-04,1.380741e-05,2.185147e-05,-3.265982e-04,1.113195e-04,1.334727e-05,2.126648e-05
4.000000e-01,-3.239385e-04,9.695266e-05,1.254704e-05,1.907084e-05,-3.218478e-04,9.500587e-05,1.193421e-05,1.831097e-05
4.333333e-01,-3.081634e-04,7.040092e-05,9.742960e-06,1.413107e-05,-3.055497e-04,6.833299e-05,8.966396e-06,1.319020e-05
