a66,rp1,ip1,rp2,ip2,rp3,ip3
-5.000000e-01,-1.092777e-02,-7.536952e+00,-9.613505e-02,-7.541229e+00,-9.997728e-02,-3.529724e+00
-4.900000e-01,-1.120467e-02,-7.536896e+00,-9.372431e-02,-7.541507e+00,-9.797315e-02,-3.529809e+00
-4.800000e-01,-1.149767e-02,-7.536835e+00,-9.129702e-02,-7.541786e+00,-9.596930e-02,-3.529893e+00
-4.700000e-01,-1.180835e-02,-7.536767e+00,-8.885162e-02,-7.542067e+00,-9.396572e-02,-3.529974e+00
-4.600000e-01,-1.213852e-02,-7.536691e+00,-8.638629e-02,-7.542352e+00,-9.196241e-02,-3.530054e+00
-4.500000e-01,-1.249026e-02,-7.536607e+00,-8.389897e-02,-7.542640e+00,-8.995936e-02,-3.530133e+00
-4.400000e-01,-1.286598e-02,-7.536512e+00,-8.138726e-02,-7.542935e+00,-8.795657e-02,-3.530209e+00
-4.300000e-01,-1.326847e-02,-7.536404e+00,-7.884837e-02,-7.543238e+00,-8.595402e-02,-3.530284e+00
-4.200000e-01,-1.370099e-02,-7.536282e+00,-7.627905e-02,-7.543551e+00,-8.395172e-02,-3.530357e+00
-4.100000e-01,-1.416735e-02,-7.536140e+00,-7.367551e-02,-7.543879e+00,-8.194965e-02,-3.530428e+00
-4.000000e-01,-1.467202e-02,-7.535977e+00,-7.103329e-02,-7.544225e+00,-7.994782e-02,-3.530498e+00
-3.900000e-01,-1.522021e-02,-7.535784e+00,-6.834717e-02,-7.544595e+00,-7.794622e-02,-3.530566e+00
-3.800000e-01,-1.581796e-02,-7.535554e+00,-6.561114e-02,-7.544997e+00,-7.594484e-02,-3.530632e+00
-3.700000e-01,-1.647205e-02,-7.535276e+00,-6.281842e-02,-7.545444e+00,-7.394367e-02,-3.530696e+00
-3.600000e-01,-1.718961e-02,-7.534934e+00,-5.996188e-02,-7.545950e+00,-7.194271e-02,-3.530759e+00
-3.500000e-01,-1.797681e-02,-7.534505e+00,-5.703539e-02,-7.546539e+00,-6.994195e-02,-3.530820e+00
-3.400000e-01,-1.883537e-02,-7.533953e+00,-5.403721e-02,-7.547245e+00,-6.794140e-02,-3.530879e+00
-3.300000e-01,-1.975432e-02,-7.533231e+00,-5.097833e-02,-7.548118e+00,-6.594103e-02,-3.530936e+00
-3.200000e-01,-2.069339e-02,-7.532279e+00,-4.789902e-02,-7.549216e+00,-6.394086e-02,-3.530992e+00
-3.100000e-01,-2.156216e-02,-7.531049e+00,-4.488971e-02,-7.550587e+00,-6.194086e-02,-3.531046e+00
-3.000000e-01,-2.222842e-02,-7.529556e+00,-4.208264e-02,-7.552217e+00,-5.994104e-02,-3.531098e+00
-2.900000e-01,-2.259078e-02,-7.527910e+00,-3.957919e-02,-7.553996e+00,-5.794139e-02,-3.531149e+00
-2.800000e-01,-2.264196e-02,-7.526246e+00,-3.738666e-02,-7.555788e+00,-5.594191e-02,-3.531198e+00
-2.700000e-01,-2.244014e-02,-7.524657e+00,-3.544687e-02,-7.557501e+00,-5.394258e-02,-3.531245e+00
-2.600000e-01,-2.205340e-02,-7.523179e+00,-3.369175e-02,-7.559097e+00,-5.194341e-02,-3.531290e+00
-2.500000e-01,-2.153552e-02,-7.521821e+00,-3.206753e-02,-7.560570e+00,-4.994438e-02,-3.531334e+00
-2.400000e-01,-2.092412e-02,-7.520577e+00,-3.053660e-02,-7.561924e+00,-4.794550e-02,-3.531376e+00
-2.300000e-01,-2.024478e-02,-7.519436e+00,-2.907339e-02,-7.563170e+00,-4.594675e-02,-3.531416e+00
-2.200000e-01,-1.951498e-02,-7.518390e+00,-2.766044e-02,-7.564318e+00,-4.394813e-02,-3.531454e+00
-2.100000e-01,-1.874688e-02,-7.517429e+00,-2.628557e-02,-7.565376e+00,-4.194963e-02,-3.531491e+00
-2.000000e-01,-1.794917e-02,-7.516545e+00,-2.494014e-02,-7.566352e+00,-3.995126e-02,-3.531526e+00
-1.900000e-01,-1.712814e-02,-7.515730e+00,-2.361783e-02,-7.567254e+00,-3.795300e-02,-3.531560e+00
-1.800000e-01,-1.628850e-02,-7.514981e+00,-2.231396e-02,-7.568087e+00,-3.595484e-02,-3.531591e+00
-1.700000e-01,-1.543381e-02,-7.514290e+00,-2.102499e-02,-7.568855e+00,-3.395679e-02,-3.531621e+00
-1.600000e-01,-1.456680e-02,-7.513655e+00,-1.974817e-02,-7.569565e+00,-3.195883e-02,-3.531649e+00
-1.500000e-01,-1.368963e-02,-7.513072e+00,-1.848136e-02,-7.570218e+00,-2.996097e-02,-3.531676e+00
-1.400000e-01,-1.280402e-02,-7.512537e+00,-1.722286e-02,-7.570818e+00,-2.796319e-02,-3.531701e+00
-1.300000e-01,-1.191134e-02,-7.512048e+00,-1.597129e-02,-7.571367e+00,-2.596548e-02,-3.531724e+00
-1.200000e-01,-1.101273e-02,-7.511603e+00,-1.472554e-02,-7.571869e+00,-2.396786e-02,-3.531745e+00
-1.100000e-01,-1.010911e-02,-7.511199e+00,-1.348469e-02,-7.572324e+00,-2.197030e-02,-3.531765e+00
-1.000000e-01,-9.201264e-03,-7.510836e+00,-1.224797e-02,-7.572735e+00,-1.997280e-02,-3.531783e+00
