t,lc1,lc2,lc3,lc4,c1,c2,c3,c4
1.366667e+00,-5.259263e-05,1.051855e-04,4.508595e-05,3.641557e-05,-5.061512e-05,1.064826e-04,4.707010e-05,3.833032e-05
1.400000e+00,-6.474414e-05,1.207345e-04,4.347194e-05,3.778403e-05,-6.270641e-05,1.221128e-04,4.546649e-05,3.975246e-05
1.433333e+00,-7.137230e-05,1.302459e-04,4.172940e-05,3.942509e-05,-6.921274e-05,1.315930e-04,4.372763e-05,4.144977e-05
1.466667e+00,-7.200314e-05,1.331773e-04,3.997831e-05,4.126176e-05,-6.982284e-05,1.345640e-04,4.197908e-05,4.333554e-05
1.500000e+00,-6.653370e-05,1.294034e-04,3.833274e-05,4.318985e-05,-6.443041e-05,1.309053e-04,4.033343e-05,4.530676e-05
1.533333e+00,-5.523881e-05,1.192238e-04,3.689435e-05,4.508491e-05,-5.312722e-05,1.207244e-04,3.890003e-05,4.723624e-05
1.566667e+00,-3.875421e-05,1.033437e-04,3.574644e-05,4.681089e-05,-3.671378e-05,1.049180e-04,3.775707e-05,4.898793e-05
1.600000e+00,-1.803709e-05,8.282961e-05,3.494903e-05,4.823004e-05,-1.611325e-05,8.452246e-05,3.696372e-05,5.042687e-05
1.633333e+00,5.693499e-06,5.904188e-05,3.453535e-05,4.921322e-05,7.553003e-06,6.079676e-05,3.656520e-05,5.141019e-05
1.666667e+00,3.103262e-05,3.354916e-05,3.450980e-05,4.965007e-05,3.279540e-05,3.540357e-05,3.655416e-05,5.184117e-05
1.700000e+00,5.647704e-05,8.029401e-06,3.484782e-05,4.945822e-05,5.815544e-05,9.971476e-06,3.690619e-05,5.164045e-05
1.733333e+00,8.051893e-05,-1.583590e-05,3.549750e-05,4.859092e-05,8.208826e-05,-1.377340e-05,3.757796e-05,5.074210e-05
1.766667e+00,1.017399e-04,-3.646770e-05,3.638301e-05,4.704244e-05,1.032238e-04,-3.430674e-05,3.848307e-05,4.916286e-05
1.800000e+00,1.188993e-04,-5.248903e-05,3.740960e-05,4.485089e-05,1.203622e-04,-5.029262e-05,3.952812e-05,4.694201e-05
1.833333e+00,1.310115e-04,-6.281194e-05,3.847004e-05,4.209810e-05,1.323769e-04,-6.047579e-05,4.060560e-05,4.414697e-05
1.866667e+00,1.374072e-04,-6.670635e-05,3.945197e-05,3.890658e-05,1.387605e-04,-6.430021e-05,4.160109e-05,4.091975e-05
1.900000e+00,1.377743e-04,-6.384637e-05,4.024584e-05,3.543357e-05,1.392197e-04,-6.145071e-05,4.240705e-05,3.741586e-05
1.933333e+00,1.321776e-04,-5.433131e-05,4.075289e-05,3.186253e-05,1.336495e-04,-5.182808e-05,4.291533e-05,3.381830e-05
1.966667e+00,1.210538e-04,-3.868000e-05,4.089272e-05,2.839270e-05,1.226679e-04,-3.615116e-05,4.305403e-05,3.033104e-05
2.000000e+00,1.051831e-04,-1.779865e-05,4.060993e-05,2.522716e-05,1.070327e-04,-1.530145e-05,4.276929e-05,2.715326e-05
2.033333e+00,8.564076e-05,7.075506e-06,3.987928e-05,2.256030e-05,8.770096e-05,9.605157e-06,4.202272e-05,2.449571e-05
2.066667e+00,6.372809e-05,3.445144e-05,3.870918e-05,2.056555e-05,6.606830e-05,3.696086e-05,4.083722e-05,2.251695e-05
2.100000e+00,4.089107e-05,6.267757e-05,3.714308e-05,1.938400e-05,4.352308e-05,6.516203e-05,3.925629e-05,2.135422e-05
2.133333e+00,1.862899e-05,9.004504e-05,3.525859e-05,1.911493e-05,2.155977e-05,9.247913e-05,3.734955e-05,2.113391e-05
2.166667e+00,-1.599877e-06,1.148947e-04,3.316443e-05,1.980876e-05,1.597786e-06,1.172856e-04,3.523730e-05,2.187747e-05
2.200000e+00,-1.847005e-05,1.357212e-04,3.099520e-05,2.146296e-05,-1.509097e-05,1.381232e-04,3.305270e-05,2.358085e-05
2.233333e+00,-3.087213e-05,1.512670e-04,2.890424e-05,2.402138e-05,-2.727834e-05,1.535836e-04,3.095399e-05,2.621323e-05
2.266667e+00,-3.798255e-05,1.606016e-04,2.705505e-05,2.737685e-05,-3.428147e-05,1.629022e-04,2.910458e-05,2.963783e-05
2.300000e+00,-3.931525e-05,1.631795e-04,2.561165e-05,3.137732e-05,-3.562917e-05,1.655545e-04,2.766634e-05,3.370435e-05
2.333333e+00,-3.475214e-05,1.588749e-04,2.472849e-05,3.583481e-05,-3.102458e-05,1.612135e-04,2.681293e-05,3.823625e-05
2.366667e+00,-2.455039e-05,1.479895e-04,2.454048e-05,4.053694e-05,-2.089327e-05,1.503895e-04,2.666360e-05,4.300542e-05
2.400000e+00,-9.326077e-06,1.312339e-04,2.515395e-05,4.526011e-05,-5.825745e-06,1.337739e-04,2.732270e-05,4.779268e-05
2.433333e+00,9.984721e-06,1.096829e-04,2.663879e-05,4.978370e-05,1.337416e-05,1.122948e-04,2.888697e-05,5.237018e-05
2.466667e+00,3.218500e-05,8.470897e-05,2.902265e-05,5.390412e-05,3.539812e-05,8.746161e-05,3.135674e-05,5.654021e-05
2.500000e+00,5.589234e-05,5.789571e-05,3.228739e-05,5.744801e-05,5.891062e-05,6.080707e-05,3.471296e-05,6.013439e-05
2.533333e+00,7.962612e-05,3.093944e-05,3.636821e-05,6.028355e-05,8.244214e-05,3.401263e-05,3.891349e-05,6.300050e-05
2.566667e+00,1.019009e-04,5.542916e-06,4.115547e-05,6.232915e-05,1.045179e-04,8.773574e-06,4.382098e-05,6.508016e-05
2.600000e+00,1.213202e-04,-1.669101e-05,4.649930e-05,6.355895e-05,1.237906e-04,-1.336099e-05,4.928640e-05,6.635031e-05
2.633333e+00,1.366648e-04,-3.435951e-05,5.221671e-05,6.400461e-05,1.389329e-04,-3.086177e-05,5.513452e-05,6.682154e-05
2.666667e+00,1.469697e-04,-4.634729e-05,5.810086e-05,6.375329e-05,1.491161e-04,-4.275827e-05,6.114374e-05,6.660713e-05
2.700000e+00,1.515853e-04,-5.189608e-05,6.393200e-05,6.294188e-05,1.537217e-04,-4.831783e-05,6.709699e-05,6.584270e-05
2.733333e+00,1.502191e-04,-5.065166e-05,6.948944e-05,6.174779e-05,1.522911e-04,-4.698572e-05,7.276229e-05,6.469644e-05
2.766667e+00,1.429544e-04,-4.268562e-05,7.456386e-05,6.037682e-05,1.450933e-04,-3.903645e-05,7.793659e-05,6.338701e-05
2.800000e+00,1.302458e-04,-2.849030e-05,7.896921e-05,5.904899e-05,1.325726e-04,-2.494625e-05,8.243734e-05,6.212941e-05
