t,rz1,rz2,rz3,rz4
1.290000e+01,1.931867e-02,1.000671e-01,1.013082e-01,1.013212e-01
1.293333e+01,8.737828e-03,9.985269e-02,1.013031e-01,1.013212e-01
1.296667e+01,2.203017e-03,9.970624e-02,1.012990e-01,1.013212e-01
1.300000e+01,-2.419773e-07,9.963266e-02,1.012960e-01,1.013212e-01
1.303333e+01,2.225659e-03,9.963365e-02,1.012942e-01,1.013212e-01
1.306667e+01,8.782122e-03,9.970760e-02,1.012936e-01,1.013212e-01
1.310000e+01,1.938268e-02,9.984981e-02,1.012943e-01,1.013212e-01
1.313333e+01,3.356509e-02,1.000527e-01,1.012960e-01,1.013212e-01
1.316667e+01,5.070845e-02,1.003063e-01,1.012988e-01,1.013212e-01
1.320000e+01,7.006373e-02,1.005985e-01,1.013024e-01,1.013212e-01
1.323333e+01,9.078538e-02,1.009159e-01,1.013067e-01,1.013212e-01
1.326667e+01,1.119674e-01,1.012442e-01,1.013114e-01,1.013212e-01
1.330000e+01,1.326842e-01,1.015691e-01,1.013163e-01,1.013212e-01
1.333333e+01,1.520300e-01,1.018765e-01,1.013213e-01,1.013212e-01
1.336667e+01,1.691598e-01,1.021535e-01,1.013260e-01,1.013212e-01
1.340000e+01,1.833249e-01,1.023888e-01,1.013304e-01,1.013212e-01
1.343333e+01,1.939054e-01,1.025731e-01,1.013341e-01,1.013212e-01
1.346667e+01,2.004398e-01,1.026993e-01,1.013372e-01,1.013212e-01
1.350000e+01,2.026426e-01,1.027634e-01,1.013394e-01,1.013212e-01
1.353333e+01,2.004163e-01,1.027637e-01,1.013408e-01,1.013212e-01
1.356667e+01,1.938594e-01,1.027017e-01,1.013413e-01,1.013212e-01
1.360000e+01,1.832585e-01,1.025812e-01,1.013409e-01,1.013212e-01
1.363333e+01,1.690757e-01,1.024087e-01,1.013397e-01,1.013212e-01
1.366667e+01,1.519321e-01,1.021928e-01,1.013377e-01,1.013212e-01
1.370000e+01,1.325767e-01,1.019436e-01,1.013351e-01,1.013212e-01
1.373333e+01,1.118549e-01,1.016727e-01,1.013320e-01,1.013212e-01
1.376667e+01,9.067291e-02,1.013922e-01,1.013286e-01,1.013212e-01
1.380000e+01,6.995616e-02,1.011144e-01,1.013250e-01,1.013212e-01
1.383333e+01,5.061050e-02,1.008514e-01,1.013214e-01,1.013212e-01
1.386667e+01,3.348104e-02,1.006141e-01,1.013179e-01,1.013212e-01
1.390000e+01,1.931619e-02,1.004123e-01,1.013147e-01,1.013212e-01
1.393333e+01,8.736108e-03,1.002540e-01,1.013119e-01,1.013212e-01
1.396667e+01,2.202129e-03,1.001451e-01,1.013097e-01,1.013212e-01
1.400000e+01,-2.593788e-07,1.000894e-01,1.013080e-01,1.013212e-01
1.403333e+01,2.226513e-03,1.000881e-01,1.013069e-01,1.013212e-01
1.406667e+01,8.783810e-03,1.001401e-01,1.013065e-01,1.013212e-01
1.410000e+01,1.938513e-02,1.002422e-01,1.013068e-01,1.013212e-01
1.413333e+01,3.356820e-02,1.003888e-01,1.013076e-01,1.013212e-01
1.416667e+01,5.071207e-02,1.005727e-01,1.013090e-01,1.013212e-01
1.420000e+01,7.006770e-02,1.007851e-01,1.013109e-01,1.013212e-01
1.423333e+01,9.078955e-02,1.010164e-01,1.013131e-01,1.013212e-01
1.426667e+01,1.119715e-01,1.012560e-01,1.013156e-01,1.013212e-01
1.430000e+01,1.326882e-01,1.014935e-01,1.013182e-01,1.013212e-01
1.433333e+01,1.520337e-01,1.017186e-01,1.013208e-01,1.013212e-01
1.436667e+01,1.691629e-01,1.019218e-01,1.013234e-01,1.013212e-01
1.440000e+01,1.833274e-01,1.020949e-01,1.013257e-01,1.013212e-01
1.443333e+01,1.939071e-01,1.022309e-01,1.013278e-01,1.013212e-01
1.446667e+01,2.004407e-01,1.023247e-01,1.013295e-01,1.013212e-01
1.450000e+01,2.026426e-01,1.023732e-01,1.013307e-01,1.013212e-01
1.453333e+01,2.004154e-01,1.023752e-01,1.013315e-01,1.013212e-01
1.456667e+01,1.938577e-01,1.023316e-01,1.013319e-01,1.013212e-01
1.460000e+01,1.832560e-01,1.022451e-01,1.013317e-01,1.013212e-01
1.463333e+01,1.690726e-01,1.021205e-01,1.013311e-01,1.013212e-01
1.466667e+01,1.519285e-01,1.019639e-01,1.013301e-01,1.013212e-01
1.470000e+01,1.325727e-01,1.017828e-01,1.013288e-01,1.013212e-01
1.473333e+01,1.118507e-01,1.015854e-01,1.013272e-01,1.013212e-01
1.476667e+01,9.066874e-02,1.013807e-01,1.013254e-01,1.013212e-01
1.480000e+01,6.995217e-02,1.011777e-01,1.013235e-01,1.013212e-01
1.483333e+01,5.060687e-02,1.009851e-01,1.013216e-01,1.013212e-01
1.486667e+01,3.347791e-02,1.008110e-01,1.013197e-01,1.013212e-01
1.490000e+01,1.931372e-02,1.006626e-01,1.013180e-01,1.013212e-01
1.493333e+01,8.734389e-03,1.005457e-01,1.013165e-01,1.013212e-01
1.496667e+01,2.201241e-03,1.004648e-01,1.013152e-01,1.013212e-01
1.500000e+01,-2.766072e-07,1.004226e-01,1.013143e-01,1.013212e-01
