t,lc1,lc2,c3,c4
2.400000e+00,-2.114180e-03,-8.093525e-04,-2.214858e-03,-8.481470e-04
2.433333e+00,-2.167065e-03,-8.362466e-04,-2.270076e-03,-8.761519e-04
2.466667e+00,-2.212147e-03,-8.604686e-04,-2.317155e-03,-9.013832e-04
2.500000e+00,-2.249645e-03,-8.818032e-04,-2.356342e-03,-9.236276e-04
2.533333e+00,-2.280068e-03,-9.001709e-04,-2.388247e-03,-9.429513e-04
2.566667e+00,-2.304155e-03,-9.156171e-04,-2.413605e-03,-9.592624e-04
2.600000e+00,-2.322803e-03,-9.282943e-04,-2.433329e-03,-9.727020e-04
2.633333e+00,-2.337002e-03,-9.384415e-04,-2.448592e-03,-9.836892e-04
2.666667e+00,-2.347758e-03,-9.463593e-04,-2.460276e-03,-9.923371e-04
2.700000e+00,-2.356027e-03,-9.523843e-04,-2.469328e-03,-9.989589e-04
2.733333e+00,-2.362655e-03,-9.568634e-04,-2.476875e-03,-1.004143e-03
2.766667e+00,-2.368330e-03,-9.601287e-04,-2.483375e-03,-1.007977e-03
2.800000e+00,-2.373541e-03,-9.624756e-04,-2.489334e-03,-1.010741e-03
2.833333e+00,-2.378559e-03,-9.641443e-04,-2.495385e-03,-1.012993e-03
2.866667e+00,-2.383430e-03,-9.653059e-04,-2.501294e-03,-1.014609e-03
2.900000e+00,-2.387977e-03,-9.660535e-04,-2.506921e-03,-1.015684e-03
2.933333e+00,-2.391826e-03,-9.663987e-04,-2.512251e-03,-1.016597e-03
2.966667e+00,-2.394434e-03,-9.662737e-04,-2.516428e-03,-1.016939e-03
3.000000e+00,-2.395139e-03,-9.655386e-04,-2.518791e-03,-1.016568e-03
3.033333e+00,-2.393204e-03,-9.639933e-04,-2.518871e-03,-1.015665e-03
3.066667e+00,-2.387872e-03,-9.613929e-04,-2.515564e-03,-1.013595e-03
3.100000e+00,-2.378429e-03,-9.574671e-04,-2.508092e-03,-1.010069e-03
3.133333e+00,-2.364250e-03,-9.519401e-04,-2.496011e-03,-1.005186e-03
3.166667e+00,-2.344852e-03,-9.445523e-04,-2.478485e-03,-9.982668e-04
3.200000e+00,-2.319937e-03,-9.350807e-04,-2.455128e-03,-9.890573e-04
3.233333e+00,-2.289420e-03,-9.233584e-04,-2.426047e-03,-9.777794e-04
3.266667e+00,-2.253456e-03,-9.092909e-04,-2.391065e-03,-9.639037e-04
3.300000e+00,-2.212445e-03,-8.928688e-04,-2.350519e-03,-9.473945e-04
3.333333e+00,-2.167028e-03,-8.741770e-04,-2.305371e-03,-9.287747e-04
3.366667e+00,-2.118074e-03,-8.533986e-04,-2.256145e-03,-9.077736e-04
3.400000e+00,-2.066650e-03,-8.308139e-04,-2.203883e-03,-8.846549e-04
3.433333e+00,-2.013984e-03,-8.067948e-04,-2.150325e-03,-8.603045e-04
3.466667e+00,-1.961424e-03,-7.817946e-04,-2.096374e-03,-8.346766e-04
3.500000e+00,-1.910380e-03,-7.563336e-04,-2.043442e-03,-8.082811e-04
3.533333e+00,-1.862276e-03,-7.309813e-04,-1.993654e-03,-7.822889e-04
3.566667e+00,-1.818492e-03,-7.063359e-04,-1.947798e-03,-7.567285e-04
3.600000e+00,-1.780314e-03,-6.830030e-04,-1.907172e-03,-7.321993e-04
3.633333e+00,-1.748881e-03,-6.615724e-04,-1.873785e-03,-7.099810e-04
3.666667e+00,-1.725147e-03,-6.425965e-04,-1.847853e-03,-6.899781e-04
3.700000e+00,-1.709846e-03,-6.265699e-04,-1.830147e-03,-6.726872e-04
3.733333e+00,-1.703469e-03,-6.139110e-04,-1.822136e-03,-6.592919e-04
3.766667e+00,-1.706248e-03,-6.049470e-04,-1.823209e-03,-6.494033e-04
3.800000e+00,-1.718154e-03,-5.999030e-04,-1.833390e-03,-6.432569e-04
3.833333e+00,-1.738906e-03,-5.988946e-04,-1.853402e-03,-6.417789e-04
3.866667e+00,-1.767986e-03,-6.019259e-04,-1.881822e-03,-6.442057e-04
3.900000e+00,-1.804667e-03,-6.088904e-04,-1.917960e-03,-6.504422e-04
3.933333e+00,-1.848046e-03,-6.195784e-04,-1.961853e-03,-6.610975e-04
3.966667e+00,-1.897081e-03,-6.336856e-04,-2.011532e-03,-6.750681e-04
4.000000e+00,-1.950636e-03,-6.508275e-04,-2.065859e-03,-6.919729e-04
4.033333e+00,-2.007523e-03,-6.705545e-04,-2.124292e-03,-7.118937e-04
4.066667e+00,-2.066546e-03,-6.923704e-04,-2.185079e-03,-7.340314e-04
4.100000e+00,-2.126540e-03,-7.157501e-04,-2.246867e-03,-7.576276e-04
4.133333e+00,-2.186411e-03,-7.401596e-04,-2.309308e-03,-7.829220e-04
4.166667e+00,-2.245162e-03,-7.650733e-04,-2.370542e-03,-8.085789e-04
4.200000e+00,-2.301922e-03,-7.899912e-04,-2.429657e-03,-8.340833e-04
4.233333e+00,-2.355961e-03,-8.144532e-04,-2.486649e-03,-8.597508e-04
4.266667e+00,-2.406698e-03,-8.380512e-04,-2.540124e-03,-8.843656e-04
4.300000e+00,-2.453705e-03,-8.604378e-04,-2.589617e-03,-9.075602e-04
4.333333e+00,-2.496703e-03,-8.813323e-04,-2.635603e-03,-9.298485e-04
4.366667e+00,-2.535545e-03,-9.005222e-04,-2.677132e-03,-9.501928e-04
4.400000e+00,-2.570206e-03,-9.178630e-04,-2.714148e-03,-9.684216e-04
4.433333e+00,-2.600755e-03,-9.332738e-04,-2.747539e-03,-9.852937e-04
4.466667e+00,-2.627339e-03,-9.467313e-04,-2.776615e-03,-9.999184e-04
4.500000e+00,-2.650155e-03,-9.582607e-04,-2.801550e-03,-1.012290e-03
4.533333e+00,-2.669425e-03,-9.679262e-04,-2.823458e-03,-1.023380e-03
4.566667e+00,-2.685375e-03,-9.758198e-04,-2.841679e-03,-1.032354e-03
4.600000e+00,-2.698218e-03,-9.820507e-04,-2.856412e-03,-1.039290e-03
4.633333e+00,-2.708134e-03,-9.867345e-04,-2.868803e-03,-1.045294e-03
4.666667e+00,-2.715262e-03,-9.899834e-04,-2.878044e-03,-1.049481e-03
4.700000e+00,-2.719692e-03,-9.918986e-04,-2.884221e-03,-1.051927e-03
4.733333e+00,-2.721467e-03,-9.925638e-04,-2.888398e-03,-1.053790e-03
4.766667e+00,-2.720585e-03,-9.920412e-04,-2.889564e-03,-1.054058e-03
4.800000e+00,-2.717006e-03,-9.903695e-04,-2.887666e-03,-1.052750e-03
4.833333e+00,-2.710667e-03,-9.875650e-04,-2.883700e-03,-1.051030e-03
4.866667e+00,-2.701496e-03,-9.836235e-04,-2.876516e-03,-1.047743e-03
4.900000e+00,-2.689427e-03,-9.785256e-04,-2.866016e-03,-1.042847e-03
4.933333e+00,-2.674423e-03,-9.722425e-04,-2.853253e-03,-1.037530e-03
4.966667e+00,-2.656485e-03,-9.647434e-04,-2.837083e-03,-1.030533e-03
5.000000e+00,-2.635678e-03,-9.560035e-04,-2.817514e-03,-1.021805e-03
5.033333e+00,-2.612134e-03,-9.460123e-04,-2.795834e-03,-1.012616e-03
5.066667e+00,-2.586071e-03,-9.347813e-04,-2.771037e-03,-1.001678e-03
5.100000e+00,-2.557794e-03,-9.223509e-04,-2.743368e-03,-9.890041e-04
5.133333e+00,-2.527697e-03,-9.087965e-04,-2.714482e-03,-9.760213e-04
5.166667e+00,-2.496263e-03,-8.942320e-04,-2.683555e-03,-9.614749e-04
5.200000e+00,-2.464056e-03,-8.788125e-04,-2.651099e-03,-9.454913e-04
5.233333e+00,-2.431705e-03,-8.627338e-04,-2.619147e-03,-9.297038e-04
5.266667e+00,-2.399894e-03,-8.462310e-04,-2.586978e-03,-9.129043e-04
5.300000e+00,-2.369343e-03,-8.295734e-04,-2.555280e-03,-8.953382e-04
5.333333e+00,-2.340781e-03,-8.130595e-04,-2.526348e-03,-8.788341e-04
5.366667e+00,-2.314932e-03,-7.970081e-04,-2.499383e-03,-8.621890e-04
5.400000e+00,-2.292485e-03,-7.817497e-04,-2.475069e-03,-8.457157e-04
5.433333e+00,-2.274079e-03,-7.676163e-04,-2.455764e-03,-8.313728e-04
5.466667e+00,-2.260275e-03,-7.549310e-04,-2.440391e-03,-8.178796e-04
5.500000e+00,-2.251544e-03,-7.439967e-04,-2.429435e-03,-8.055292e-04
