t,lc1,lc2,lc3,lc4,c1,c2,c3,c4
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.333333e-02,2.540124e-05,-2.537139e-05,-5.348562e-09,-9.441503e-09,2.540461e-05,-2.537538e-05,-5.313138e-09,-9.378646e-09
6.666667e-02,4.943759e-05,-4.919309e-05,-3.854706e-08,-6.809655e-08,4.943830e-05,-4.919424e-05,-3.868763e-08,-6.835831e-08
1.000000e-01,7.094402e-05,-7.011143e-05,-1.170014e-07,-2.070187e-07,7.097071e-05,-7.014061e-05,-1.168280e-07,-2.068673e-07
1.333333e-01,8.896943e-05,-8.699818e-05,-2.483550e-07,-4.401247e-07,8.893276e-05,-8.694501e-05,-2.488866e-07,-4.418176e-07
1.666667e-01,1.027947e-04,-9.898107e-05,-4.309459e-07,-7.647208e-07,1.027745e-04,-9.892425e-05,-4.300394e-07,-7.653848e-07
2.000000e-01,1.119525e-04,-1.054733e-04,-6.538438e-07,-1.161655e-06,1.119836e-04,-1.054301e-04,-6.492505e-07,-1.159001e-06
2.333333e-01,1.162388e-04,-1.061912e-04,-8.969794e-07,-1.596050e-06,1.162465e-04,-1.060370e-04,-8.850371e-07,-1.586439e-06
2.666667e-01,1.157112e-04,-1.011573e-04,-1.131549e-06,-2.018875e-06,1.157768e-04,-1.009425e-04,-1.106139e-06,-1.995414e-06
3.000000e-01,1.106751e-04,-9.068791e-05,-1.320752e-06,-2.369342e-06,1.108797e-04,-9.045544e-05,-1.274681e-06,-2.324403e-06
3.333333e-01,1.016581e-04,-7.536608e-05,-1.420858e-06,-2.578021e-06,1.019689e-04,-7.501345e-05,-1.341897e-06,-2.497031e-06
3.666667e-01,8.937401e-05,-5.600253e-05,-1.382590e-06,-2.570478e-06,8.987680e-05,-5.557301e-05,-1.259685e-06,-2.441446e-06
4.000000e-01,7.467929e-05,-3.358601e-05,-1.152774e-06,-2.271247e-06,7.543187e-05,-3.309536e-05,-9.749790e-07,-2.082782e-06
4.333333e-01,5.852337e-05,-9.226495e-06,-6.761972e-07,-1.607876e-06,5.953097e-05,-8.629744e-06,-4.239450e-07,-1.336451e-06
4.666667e-01,4.189666e-05,1.590566e-05,1.023711e-07,-5.148462e-07,4.319380e-05,1.659822e-05,4.410038e-07,-1.483883e-07
5.000000e-01,2.577828e-05,4.064158e-05,1.236096e-06,1.062884e-06,2.735792e-05,4.145480e-05,1.671252e-06,1.534234e-06
5.333333e-01,1.108637e-05,6.387335e-05,2.773984e-06,3.166887e-06,1.296769e-05,6.479182e-05,3.327537e-06,3.767866e-06
5.666667e-01,-1.366578e-06,8.460837e-05,4.758873e-06,5.822986e-06,7.778138e-07,8.566599e-05,5.439070e-06,6.560393e-06
6.000000e-01,-1.091131e-05,1.020158e-04,7.225580e-06,9.039812e-06,-8.572407e-06,1.032726e-04,8.038570e-06,9.918416e-06
6.333333e-01,-1.705066e-05,1.154632e-04,1.019928e-05,1.280826e-05,-1.449326e-05,1.168636e-04,1.116559e-05,1.384789e-05
6.666667e-01,-1.947865e-05,1.245417e-04,1.369420e-05,1.710184e-05,-1.678393e-05,1.261499e-04,1.481782e-05,1.830402e-05
7.000000e-01,-1.808892e-05,1.290792e-04,1.771263e-05,2.187793e-05,-1.534062e-05,1.309632e-04,1.899675e-05,2.324421e-05
7.333333e-01,-1.297284e-05,1.291406e-04,2.224438e-05,2.707976e-05,-1.013966e-05,1.312318e-04,2.370727e-05,2.862392e-05
7.666667e-01,-4.407471e-06,1.250164e-04,2.726664e-05,3.263915e-05,-1.561407e-06,1.273749e-04,2.891054e-05,3.436166e-05
8.000000e-01,7.165448e-06,1.172000e-04,3.274432e-05,3.847960e-05,9.973554e-06,1.198662e-04,3.457209e-05,4.038291e-05
8.333333e-01,2.116823e-05,1.063556e-04,3.863078e-05,4.451986e-05,2.397092e-05,1.092707e-04,4.065744e-05,4.661257e-05
8.666667e-01,3.692178e-05,9.327867e-05,4.486900e-05,5.067747e-05,3.969025e-05,9.646533e-05,4.709666e-05,5.296211e-05
9.000000e-01,5.368415e-05,7.885109e-05,5.139313e-05,5.687230e-05,5.641992e-05,8.229920e-05,5.382514e-05,5.935351e-05
9.333333e-01,7.069082e-05,6.399334e-05,5.813039e-05,6.302976e-05,7.341320e-05,6.767015e-05,6.077590e-05,6.571099e-05
9.666667e-01,8.719475e-05,4.961673e-05,6.500318e-05,6.908368e-05,8.992425e-05,5.349521e-05,6.786392e-05,7.196901e-05
1.000000e+00,1.025040e-04,3.657762e-05,7.193138e-05,7.497843e-05,1.052871e-04,4.060197e-05,7.501033e-05,7.807296e-05
1.033333e+00,1.160153e-04,2.563611e-05,7.883473e-05,8.067058e-05,1.188518e-04,2.980869e-05,8.213326e-05,8.397279e-05
1.066667e+00,1.272419e-04,1.742108e-05,8.563525e-05,8.612965e-05,1.301892e-04,2.168120e-05,8.915456e-05,8.964344e-05
1.100000e+00,1.358339e-04,1.240317e-05,9.225949e-05,9.133820e-05,1.389621e-04,1.667906e-05,9.600209e-05,9.506743e-05
1.133333e+00,1.415920e-04,1.087668e-05,9.864064e-05,9.629121e-05,1.448884e-04,1.520479e-05,1.026013e-04,1.002316e-04
1.166667e+00,1.444721e-04,1.295110e-05,1.047204e-04,1.009947e-04,1.480066e-04,1.727056e-05,1.089008e-04,1.051494e-04
1.200000e+00,1.445819e-04,1.855226e-05,1.104504e-04,1.054641e-04,1.484184e-04,2.281258e-05,1.148534e-04,1.098355e-04
1.233333e+00,1.421704e-04,2.743283e-05,1.157933e-04,1.097216e-04,1.462919e-04,3.169203e-05,1.204102e-04,1.143056e-04
1.266667e+00,1.376099e-04,3.919105e-05,1.207237e-04,1.137939e-04,1.420658e-04,4.341989e-05,1.255573e-04,1.185927e-04
1.300000e+00,1.313730e-04,5.329673e-05,1.252280e-04,1.177096e-04,1.361898e-04,5.749116e-05,1.302815e-04,1.227242e-04
1.333333e+00,1.240047e-04,6.912275e-05,1.293045e-04,1.214966e-04,1.291629e-04,7.334211e-05,1.345678e-04,1.267236e-04
1.366667e+00,1.160919e-04,8.598029e-05,1.329625e-04,1.251796e-04,1.215930e-04,9.024145e-05,1.384381e-04,1.306189e-04
1.400000e+00,1.082321e-04,1.031559e-04,1.362215e-04,1.287782e-04,1.140495e-04,1.075029e-04,1.419108e-04,1.344286e-04
1.433333e+00,1.010027e-04,1.199485e-04,1.391098e-04,1.323054e-04,1.071161e-04,1.244216e-04,1.450021e-04,1.381624e-04
1.466667e+00,9.493156e-05,1.357043e-04,1.416624e-04,1.357669e-04,1.012937e-04,1.403576e-04,1.477576e-04,1.418270e-04
1.500000e+00,9.047221e-05,1.498480e-04,1.439202e-04,1.391600e-04,9.701724e-05,1.547521e-04,1.502159e-04,1.454192e-04
1.533333e+00,8.798298e-05,1.619093e-04,1.459269e-04,1.424746e-04,9.470001e-05,1.670716e-04,1.524123e-04,1.489254e-04
1.566667e+00,8.771188e-05,1.715420e-04,1.477280e-04,1.456939e-04,9.453293e-05,1.770267e-04,1.543991e-04,1.523304e-04
1.600000e+00,8.978766e-05,1.785375e-04,1.493684e-04,1.487953e-04,9.664533e-05,1.844075e-04,1.562195e-04,1.556119e-04
1.633333e+00,9.421715e-05,1.828299e-04,1.508911e-04,1.517527e-04,1.011209e-04,1.890580e-04,1.579122e-04,1.587390e-04
1.666667e+00,1.008889e-04,1.844935e-04,1.523355e-04,1.545384e-04,1.077883e-04,1.911222e-04,1.595202e-04,1.616884e-04
1.700000e+00,1.095828e-04,1.837342e-04,1.537362e-04,1.571254e-04,1.164441e-04,1.907887e-04,1.610772e-04,1.644343e-04
1.733333e+00,1.199844e-04,1.808735e-04,1.551226e-04,1.594898e-04,1.268372e-04,1.883031e-04,1.626119e-04,1.669461e-04
1.766667e+00,1.317046e-04,1.763280e-04,1.565178e-04,1.616130e-04,1.385391e-04,1.841334e-04,1.641488e-04,1.692128e-04
1.800000e+00,1.443006e-04,1.705840e-04,1.579393e-04,1.634839e-04,1.511300e-04,1.787420e-04,1.657049e-04,1.712239e-04
1.833333e+00,1.573011e-04,1.641707e-04,1.593984e-04,1.651001e-04,1.641612e-04,1.726273e-04,1.672932e-04,1.729700e-04
1.866667e+00,1.702301e-04,1.576306e-04,1.609015e-04,1.664696e-04,1.771519e-04,1.663457e-04,1.689197e-04,1.744675e-04
1.900000e+00,1.826309e-04,1.514919e-04,1.624508e-04,1.676113e-04,1.896636e-04,1.604065e-04,1.705870e-04,1.757351e-04
1.933333e+00,1.940888e-04,1.462415e-04,1.640451e-04,1.685547e-04,2.012583e-04,1.553197e-04,1.722959e-04,1.767969e-04
1.966667e+00,2.042497e-04,1.423018e-04,1.656814e-04,1.693399e-04,2.116108e-04,1.514831e-04,1.740429e-04,1.776995e-04
2.000000e+00,2.128359e-04,1.400111e-04,1.673561e-04,1.700163e-04,2.204503e-04,1.492295e-04,1.758252e-04,1.784915e-04
2.033333e+00,2.196574e-04,1.396095e-04,1.690663e-04,1.706409e-04,2.275324e-04,1.488605e-04,1.776417e-04,1.792287e-04
2.066667e+00,2.246177e-04,1.412302e-04,1.708108e-04,1.712763e-04,2.328078e-04,1.504617e-04,1.794913e-04,1.799761e-04
2.100000e+00,2.277153e-04,1.448961e-04,1.725918e-04,1.719886e-04,2.362689e-04,1.540653e-04,1.813768e-04,1.807983e-04
2.133333e+00,2.290406e-04,1.505230e-04,1.744151e-04,1.728442e-04,2.379454e-04,1.596567e-04,1.833062e-04,1.817670e-04
2.166667e+00,2.287671e-04,1.579276e-04,1.762908e-04,1.739078e-04,2.380544e-04,1.670058e-04,1.852893e-04,1.829430e-04
2.200000e+00,2.271404e-04,1.668401e-04,1.782338e-04,1.752394e-04,2.368249e-04,1.758618e-04,1.873415e-04,1.843853e-04
2.233333e+00,2.244624e-04,1.769218e-04,1.802635e-04,1.768919e-04,2.345166e-04,1.859327e-04,1.894855e-04,1.861574e-04
2.266667e+00,2.210744e-04,1.877840e-04,1.824035e-04,1.789091e-04,2.314918e-04,1.968048e-04,1.917430e-04,1.882939e-04
2.300000e+00,2.173383e-04,1.990104e-04,1.846807e-04,1.813240e-04,2.280932e-04,2.080812e-04,1.941408e-04,1.908274e-04
2.333333e+00,2.136173e-04,2.101790e-04,1.871246e-04,1.841575e-04,2.246749e-04,2.193465e-04,1.967140e-04,1.937921e-04
2.366667e+00,2.102582e-04,2.208840e-04,1.897658e-04,1.874177e-04,2.215773e-04,2.301996e-04,1.994883e-04,1.971839e-04
2.400000e+00,2.075737e-04,2.307563e-04,1.926345e-04,1.910997e-04,2.191005e-04,2.402833e-04,2.024937e-04,2.009988e-04
2.433333e+00,2.058289e-04,2.394806e-04,1.957596e-04,1.951865e-04,2.175342e-04,2.492486e-04,2.057670e-04,2.052324e-04
2.466667e+00,2.052291e-04,2.468105e-04,1.991662e-04,1.996494e-04,2.170576e-04,2.568785e-04,2.093258e-04,2.098444e-04
2.500000e+00,2.059123e-04,2.525779e-04,2.028750e-04,2.044499e-04,2.178083e-04,2.630041e-04,2.131907e-04,2.147979e-04
2.533333e+00,2.079446e-04,2.566997e-04,2.069006e-04,2.095412e-04,2.198978e-04,2.674855e-04,2.173859e-04,2.200556e-04
2.566667e+00,2.113201e-04,2.591790e-04,2.112503e-04,2.148706e-04,2.232885e-04,2.703646e-04,2.219095e-04,2.255567e-04
2.600000e+00,2.159638e-04,2.601020e-04,2.159232e-04,2.203818e-04,2.279170e-04,2.717144e-04,2.267609e-04,2.312467e-04
2.633333e+00,2.217387e-04,2.596310e-04,2.209099e-04,2.260170e-04,2.336904e-04,2.716435e-04,2.319405e-04,2.370723e-04
2.666667e+00,2.284551e-04,2.579940e-04,2.261922e-04,2.317195e-04,2.403964e-04,2.704097e-04,2.374206e-04,2.429732e-04
2.700000e+00,2.358826e-04,2.554703e-04,2.317431e-04,2.374355e-04,2.478210e-04,2.682738e-04,2.431750e-04,2.488975e-04
