t,lc1,lc2,lc3,lc4,c1,c2,c3,c4
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.333333e-02,4.684587e-05,-3.637853e-05,-3.894748e-09,-6.964307e-09,4.684456e-05,-3.637735e-05,-3.901659e-09,-6.979393e-09
6.666667e-02,8.911906e-05,-6.886311e-05,-3.054742e-08,-5.445148e-08,8.910140e-05,-6.884632e-05,-3.061725e-08,-5.463978e-08
1.000000e-01,1.226970e-04,-9.394613e-05,-9.908264e-08,-1.756810e-07,1.226870e-04,-9.392530e-05,-9.896910e-08,-1.759092e-07
1.333333e-01,1.443407e-04,-1.088780e-04,-2.215448e-07,-3.898421e-07,1.443278e-04,-1.088194e-04,-2.208788e-07,-3.902765e-07
1.666667e-01,1.520243e-04,-1.119500e-04,-4.001862e-07,-6.971397e-07,1.520069e-04,-1.118055e-04,-3.979861e-07,-6.975700e-07
2.000000e-01,1.451409e-04,-1.026701e-04,-6.256826e-07,-1.076097e-06,1.452580e-04,-1.024888e-04,-6.197801e-07,-1.075046e-06
2.333333e-01,1.245633e-04,-8.181529e-05,-8.764502e-07,-1.483465e-06,1.247216e-04,-8.143418e-05,-8.643835e-07,-1.479297e-06
2.666667e-01,9.255448e-05,-5.135369e-05,-1.119142e-06,-1.856822e-06,9.296158e-05,-5.086730e-05,-1.097040e-06,-1.845781e-06
3.000000e-01,5.253530e-05,-1.424470e-05,-1.310300e-06,-2.119620e-06,5.329209e-05,-1.367525e-05,-1.274569e-06,-2.098055e-06
3.333333e-01,8.734637e-06,2.586204e-05,-1.399020e-06,-2.188200e-06,9.793431e-06,2.657671e-05,-1.341967e-06,-2.144174e-06
3.666667e-01,-3.424311e-05,6.499862e-05,-1.330430e-06,-1.980035e-06,-3.286321e-05,6.582520e-05,-1.246727e-06,-1.905461e-06
4.000000e-01,-7.188883e-05,9.928364e-05,-1.049672e-06,-1.422350e-06,-7.033189e-05,1.002879e-04,-9.345457e-07,-1.309188e-06
4.333333e-01,-1.002496e-04,1.253184e-04,-5.060558e-07,-4.601664e-07,-9.841621e-05,1.263161e-04,-3.455683e-07,-2.864660e-07
4.666667e-01,-1.163329e-04,1.405344e-04,3.429498e-07,9.370783e-07,-1.144157e-04,1.415915e-04,5.556553e-07,1.181244e-06
5.000000e-01,-1.184122e-04,1.434558e-04,1.528237e-06,2.771123e-06,-1.166453e-04,1.446804e-04,1.800195e-06,3.095318e-06
5.333333e-01,-1.062037e-04,1.338509e-04,3.066371e-06,5.013184e-06,-1.043745e-04,1.349783e-04,3.416372e-06,5.438426e-06
5.666667e-01,-8.089463e-05,1.127572e-04,4.957894e-06,7.605233e-06,-7.919508e-05,1.139048e-04,5.394195e-06,8.137954e-06
6.000000e-01,-4.502226e-05,8.237590e-05,7.186787e-06,1.046419e-05,-4.355659e-05,8.360707e-05,7.717950e-06,1.111063e-05
6.333333e-01,-2.213559e-06,4.584857e-05,9.721072e-06,1.348868e-05,-8.629084e-07,4.704341e-05,1.036444e-05,1.425744e-05
6.666667e-01,4.318587e-05,6.937662e-06,1.251453e-05,1.656769e-05,4.434065e-05,8.160680e-06,1.327663e-05,1.745939e-05
7.000000e-01,8.655696e-05,-3.035661e-05,1.550936e-05,1.959030e-05,8.756399e-05,-2.914928e-05,1.639653e-05,2.060585e-05
7.333333e-01,1.234804e-04,-6.220343e-05,1.863956e-05,2.245552e-05,1.242062e-04,-6.089629e-05,1.966032e-05,2.358854e-05
7.666667e-01,1.501897e-04,-8.533138e-05,2.183471e-05,2.508122e-05,1.507179e-04,-8.397921e-05,2.299119e-05,2.632816e-05
8.000000e-01,1.639580e-04,-9.736133e-05,2.502394e-05,2.741124e-05,1.644753e-04,-9.608759e-05,2.631809e-05,2.876864e-05
8.333333e-01,1.633782e-04,-9.704809e-05,2.813972e-05,2.941994e-05,1.636780e-04,-9.561007e-05,2.956921e-05,3.087368e-05
8.666667e-01,1.485096e-04,-8.440659e-05,3.112115e-05,3.111363e-05,1.488456e-04,-8.293738e-05,3.268398e-05,3.265952e-05
9.000000e-01,1.208731e-04,-6.070902e-05,3.391663e-05,3.252885e-05,1.214730e-04,-5.931026e-05,3.561046e-05,3.416251e-05
9.333333e-01,8.329862e-05,-2.835377e-05,3.648575e-05,3.372747e-05,8.408476e-05,-2.686632e-05,3.829954e-05,3.543929e-05
9.666667e-01,3.963779e-05,9.380627e-06,3.880017e-05,3.478914e-05,4.079353e-05,1.085872e-05,4.072831e-05,3.657813e-05
1.000000e+00,-5.627802e-06,4.867160e-05,4.084373e-05,3.580195e-05,-4.089299e-06,5.014870e-05,4.287973e-05,3.766683e-05
1.033333e+00,-4.784277e-05,8.554408e-05,4.261165e-05,3.685201e-05,-4.587773e-05,8.696345e-05,4.473935e-05,3.879455e-05
1.066667e+00,-8.265225e-05,1.162777e-04,4.410909e-05,3.801326e-05,-8.036265e-05,1.176651e-04,4.632032e-05,4.003544e-05
1.100000e+00,-1.064458e-04,1.377877e-04,4.534925e-05,3.933836e-05,-1.040648e-04,1.392600e-04,4.763536e-05,4.144135e-05
1.133333e+00,-1.167257e-04,1.479415e-04,4.635120e-05,4.085183e-05,-1.140972e-04,1.492832e-04,4.869638e-05,4.304219e-05
1.166667e+00,-1.123615e-04,1.457768e-04,4.713756e-05,4.254597e-05,-1.097269e-04,1.471226e-04,4.953429e-05,4.482322e-05
1.200000e+00,-9.370582e-05,1.316011e-04,4.773249e-05,4.438023e-05,-9.127768e-05,1.330839e-04,5.017362e-05,4.674294e-05
1.233333e+00,-6.255840e-05,1.069610e-04,4.815986e-05,4.628401e-05,-6.015029e-05,1.084025e-04,5.063417e-05,4.873017e-05
1.266667e+00,-2.198266e-05,7.448388e-05,4.844194e-05,4.816283e-05,-1.976083e-05,7.602029e-05,5.094464e-05,5.068557e-05
1.300000e+00,2.400661e-05,3.761036e-05,4.859853e-05,4.990716e-05,2.599744e-05,3.928326e-05,5.112535e-05,5.249977e-05
1.333333e+00,7.085262e-05,2.422183e-07,4.864663e-05,5.140318e-05,7.260574e-05,2.071567e-06,5.119086e-05,5.404867e-05
1.366667e+00,1.139213e-04,-3.365658e-05,4.860059e-05,5.254444e-05,1.154200e-04,-3.164750e-05,5.115975e-05,5.523167e-05
1.400000e+00,1.489737e-04,-6.046562e-05,4.847254e-05,5.324316e-05,1.503358e-04,-5.836144e-05,5.104459e-05,5.596203e-05
1.433333e+00,1.725982e-04,-7.727892e-05,4.827317e-05,5.344016e-05,1.736322e-04,-7.487713e-05,5.085463e-05,5.616455e-05
1.466667e+00,1.825581e-04,-8.220324e-05,4.801259e-05,5.311239e-05,1.834579e-04,-7.961662e-05,5.060282e-05,5.583214e-05
1.500000e+00,1.780189e-04,-7.455299e-05,4.770114e-05,5.227720e-05,1.790415e-04,-7.192504e-05,5.029976e-05,5.498304e-05
1.533333e+00,1.596325e-04,-5.492198e-05,4.735013e-05,5.099295e-05,1.606531e-04,-5.204714e-05,4.995587e-05,5.366406e-05
1.566667e+00,1.294697e-04,-2.512470e-05,4.697238e-05,4.935580e-05,1.307853e-04,-2.216454e-05,4.958514e-05,5.198842e-05
1.600000e+00,9.080702e-05,1.198724e-05,4.658240e-05,4.749296e-05,9.261051e-05,1.494388e-05,4.920147e-05,5.008369e-05
1.633333e+00,4.779103e-05,5.281457e-05,4.619644e-05,4.555292e-05,5.010202e-05,5.579239e-05,4.882071e-05,4.810030e-05
1.666667e+00,5.012924e-06,9.337619e-05,4.583219e-05,4.369360e-05,7.915712e-06,9.629849e-05,4.845995e-05,4.620279e-05
1.700000e+00,-3.296189e-05,1.297143e-04,4.550835e-05,4.206957e-05,-2.957038e-05,1.326228e-04,4.813706e-05,4.454548e-05
1.733333e+00,-6.206185e-05,1.582972e-04,4.524406e-05,4.081939e-05,-5.808065e-05,1.610185e-04,4.787294e-05,4.328182e-05
