t,lc1,lc2,lc3,lc4,c1,c2,c3,c4
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.333333e-02,2.142227e-08,3.172233e-11,3.436361e-12,5.214591e-12,2.150485e-08,1.191802e-11,6.394885e-14,8.526513e-14
6.666667e-02,1.567050e-07,9.458298e-10,1.083431e-10,1.611331e-10,1.569694e-07,4.168379e-10,9.145573e-12,1.367217e-11
1.000000e-01,4.823163e-07,6.639213e-09,8.010563e-10,1.169891e-09,4.822922e-07,5.538647e-09,5.666501e-10,8.401233e-10
1.333333e-01,1.041902e-06,2.581493e-08,3.274007e-09,4.700883e-09,1.042431e-06,2.460870e-08,2.974196e-09,4.310948e-09
1.666667e-01,1.853558e-06,7.259699e-08,9.671013e-09,1.366152e-08,1.855360e-06,7.158587e-08,9.351744e-09,1.328146e-08
2.000000e-01,2.915501e-06,1.662180e-07,2.326259e-08,3.234363e-08,2.917227e-06,1.652876e-07,2.289961e-08,3.194462e-08
2.333333e-01,4.210666e-06,3.299937e-07,4.856030e-08,6.646685e-08,4.213302e-06,3.296329e-07,4.822917e-08,6.615005e-08
2.666667e-01,5.710629e-06,5.897948e-07,9.138008e-08,1.231410e-07,5.713370e-06,5.899707e-07,9.107526e-08,1.228966e-07
3.000000e-01,7.379101e-06,9.722238e-07,1.588631e-07,2.107678e-07,7.381407e-06,9.726873e-07,1.585302e-07,2.105252e-07
3.333333e-01,9.175149e-06,1.502687e-06,2.594577e-07,3.388979e-07,9.177445e-06,1.504280e-06,2.592997e-07,3.388962e-07
3.666667e-01,1.105616e-05,2.203523e-06,4.028606e-07,5.180495e-07,1.105794e-05,2.205944e-06,4.028447e-07,5.182333e-07
4.000000e-01,1.298052e-05,3.092327e-06,5.999103e-07,7.594949e-07,1.298167e-05,3.095101e-06,5.999323e-07,7.597299e-07
4.333333e-01,1.490997e-05,4.180569e-06,8.624266e-07,1.075013e-06,1.491045e-05,4.184680e-06,8.628871e-07,1.075730e-06
4.666667e-01,1.681146e-05,5.472581e-06,1.202989e-06,1.476609e-06,1.681129e-05,5.477469e-06,1.203811e-06,1.477690e-06
5.000000e-01,1.865860e-05,6.964975e-06,1.634659e-06,1.976211e-06,1.865807e-05,6.970067e-06,1.635674e-06,1.977450e-06
5.333333e-01,2.043245e-05,8.646514e-06,2.170653e-06,2.585346e-06,2.043139e-05,8.652627e-06,2.172484e-06,2.587361e-06
5.666667e-01,2.212188e-05,1.049844e-05,2.823976e-06,3.314820e-06,2.212071e-05,1.050495e-05,2.826466e-06,3.317404e-06
6.000000e-01,2.372335e-05,1.249527e-05,3.607045e-06,4.174408e-06,2.372257e-05,1.250173e-05,3.609943e-06,4.177274e-06
6.333333e-01,2.524023e-05,1.460597e-05,4.531308e-06,5.172581e-06,2.523973e-05,1.461279e-05,4.535421e-06,5.176476e-06
6.666667e-01,2.668182e-05,1.679545e-05,5.606882e-06,6.316268e-06,2.668215e-05,1.680225e-05,5.611954e-06,6.320887e-06
7.000000e-01,2.806200e-05,1.902638e-05,6.842225e-06,7.610667e-06,2.806359e-05,1.903310e-05,6.847927e-06,7.615657e-06
7.333333e-01,2.939782e-05,2.126108e-05,8.243841e-06,9.059110e-06,2.940073e-05,2.126776e-05,8.251084e-06,9.065262e-06
7.666667e-01,3.070787e-05,2.346342e-05,9.816031e-06,1.066296e-05,3.071250e-05,2.347015e-05,9.824469e-06,1.066990e-05
8.000000e-01,3.201085e-05,2.560065e-05,1.156070e-05,1.242159e-05,3.201740e-05,2.560789e-05,1.156995e-05,1.242893e-05
8.333333e-01,3.332413e-05,2.764506e-05,1.347720e-05,1.433233e-05,3.333284e-05,2.765266e-05,1.348817e-05,1.434082e-05
8.666667e-01,3.466254e-05,2.957527e-05,1.556225e-05,1.639054e-05,3.467353e-05,2.958385e-05,1.557452e-05,1.639977e-05
9.000000e-01,3.603744e-05,3.137718e-05,1.780990e-05,1.858962e-05,3.605072e-05,3.138757e-05,1.782308e-05,1.859924e-05
9.333333e-01,3.745612e-05,3.304457e-05,2.021157e-05,2.092117e-05,3.747198e-05,3.305662e-05,2.022640e-05,2.093180e-05
9.666667e-01,3.892145e-05,3.457912e-05,2.275615e-05,2.337507e-05,3.893983e-05,3.459375e-05,2.277220e-05,2.338634e-05
1.000000e+00,4.043198e-05,3.599019e-05,2.543017e-05,2.593965e-05,4.045279e-05,3.600821e-05,2.544709e-05,2.595129e-05
1.033333e+00,4.198229e-05,3.729404e-05,2.821805e-05,2.860187e-05,4.200574e-05,3.731544e-05,2.823634e-05,2.861435e-05
1.066667e+00,4.356363e-05,3.851282e-05,3.110238e-05,3.134755e-05,4.358962e-05,3.853832e-05,3.112165e-05,3.136063e-05
1.100000e+00,4.516486e-05,3.967322e-05,3.406424e-05,3.416158e-05,4.519338e-05,3.970325e-05,3.408429e-05,3.417516e-05
1.133333e+00,4.677348e-05,4.080496e-05,3.708364e-05,3.702815e-05,4.680457e-05,4.083963e-05,3.710467e-05,3.704257e-05
1.166667e+00,4.837677e-05,4.193918e-05,4.013985e-05,3.993103e-05,4.841041e-05,4.197866e-05,4.016167e-05,3.994624e-05
1.200000e+00,4.996296e-05,4.310676e-05,4.321188e-05,4.285375e-05,4.999924e-05,4.315087e-05,4.323446e-05,4.286991e-05
1.233333e+00,5.152229e-05,4.433684e-05,4.627885e-05,4.577991e-05,5.156110e-05,4.438570e-05,4.630217e-05,4.579721e-05
1.266667e+00,5.304797e-05,4.565534e-05,4.932040e-05,4.869334e-05,5.308941e-05,4.570849e-05,4.934451e-05,4.871199e-05
1.300000e+00,5.453692e-05,4.708386e-05,5.231712e-05,5.157837e-05,5.458110e-05,4.714051e-05,5.234225e-05,5.159875e-05
1.333333e+00,5.599022e-05,4.863876e-05,5.525082e-05,5.442003e-05,5.603696e-05,4.869898e-05,5.527678e-05,5.444221e-05
1.366667e+00,5.741336e-05,5.033060e-05,5.810491e-05,5.720424e-05,5.746274e-05,5.039341e-05,5.813203e-05,5.722862e-05
1.400000e+00,5.881613e-05,5.216392e-05,6.086467e-05,5.991800e-05,5.886812e-05,5.222825e-05,6.089341e-05,5.994510e-05
1.433333e+00,6.021229e-05,5.413736e-05,6.351744e-05,6.254958e-05,6.026675e-05,5.420314e-05,6.354752e-05,6.257930e-05
1.466667e+00,6.161889e-05,5.624406e-05,6.605281e-05,6.508865e-05,6.167571e-05,5.631015e-05,6.608479e-05,6.512150e-05
1.500000e+00,6.305547e-05,5.847231e-05,6.846277e-05,6.752646e-05,6.311432e-05,5.853772e-05,6.849728e-05,6.756300e-05
1.533333e+00,6.454301e-05,6.080653e-05,7.074176e-05,6.985595e-05,6.460388e-05,6.087108e-05,7.077847e-05,6.989587e-05
1.566667e+00,6.610280e-05,6.322825e-05,7.288666e-05,7.207186e-05,6.616526e-05,6.329105e-05,7.292624e-05,7.211563e-05
1.600000e+00,6.775527e-05,6.571727e-05,7.489685e-05,7.417082e-05,6.781866e-05,6.577771e-05,7.493994e-05,7.421889e-05
1.633333e+00,6.951881e-05,6.825283e-05,7.677404e-05,7.615139e-05,6.958327e-05,6.831074e-05,7.682030e-05,7.620326e-05
1.666667e+00,7.140873e-05,7.081465e-05,7.852223e-05,7.801413e-05,7.147352e-05,7.086965e-05,7.857227e-05,7.807014e-05
1.700000e+00,7.343632e-05,7.338396e-05,8.014753e-05,7.976159e-05,7.350057e-05,7.343597e-05,8.020187e-05,7.982198e-05
1.733333e+00,7.560810e-05,7.594426e-05,8.165803e-05,8.139828e-05,7.567205e-05,7.599326e-05,8.171627e-05,8.146240e-05
1.766667e+00,7.792539e-05,7.848195e-05,8.306354e-05,8.293061e-05,7.798816e-05,7.852812e-05,8.312608e-05,8.299859e-05
1.800000e+00,8.038401e-05,8.098669e-05,8.437543e-05,8.436683e-05,8.044478e-05,8.103042e-05,8.444251e-05,8.443867e-05
