a22,rp1,ip1,rp2,ip2,rp3,ip3
-1.000000e+00,-2.203867e-01,0.000000e+00,-4.374097e-03,0.000000e+00,-9.593990e-02,0.000000e+00
-9.900000e-01,-2.181201e-01,0.000000e+00,-4.419316e-03,0.000000e+00,-9.498392e-02,0.000000e+00
-9.800000e-01,-2.158517e-01,0.000000e+00,-4.465489e-03,0.000000e+00,-9.402784e-02,0.000000e+00
-9.700000e-01,-2.135816e-01,0.000000e+00,-4.512648e-03,0.000000e+00,-9.307165e-02,0.000000e+00
-9.600000e-01,-2.113097e-01,0.000000e+00,-4.560824e-03,0.000000e+00,-9.211535e-02,0.000000e+00
-9.500000e-01,-2.090359e-01,0.000000e+00,-4.610051e-03,0.000000e+00,-9.115895e-02,0.000000e+00
-9.400000e-01,-2.067604e-01,0.000000e+00,-4.660364e-03,0.000000e+00,-9.020244e-02,0.000000e+00
-9.300000e-01,-2.044829e-01,0.000000e+00,-4.711800e-03,0.000000e+00,-8.924583e-02,0.000000e+00
-9.200000e-01,-2.022035e-01,0.000000e+00,-4.764397e-03,0.000000e+00,-8.828913e-02,0.000000e+00
-9.100000e-01,-1.999222e-01,0.000000e+00,-4.818196e-03,0.000000e+00,-8.733232e-02,0.000000e+00
-9.000000e-01,-1.976389e-01,0.000000e+00,-4.873237e-03,0.000000e+00,-8.637541e-02,0.000000e+00
-8.900000e-01,-1.953536e-01,0.000000e+00,-4.929566e-03,0.000000e+00,-8.541841e-02,0.000000e+00
-8.800000e-01,-1.930663e-01,0.000000e+00,-4.987228e-03,0.000000e+00,-8.446131e-02,0.000000e+00
-8.700000e-01,-1.907769e-01,0.000000e+00,-5.046272e-03,0.000000e+00,-8.350412e-02,0.000000e+00
-8.600000e-01,-1.884853e-01,0.000000e+00,-5.106748e-03,0.000000e+00,-8.254684e-02,0.000000e+00
-8.500000e-01,-1.861916e-01,0.000000e+00,-5.168710e-03,0.000000e+00,-8.158946e-02,0.000000e+00
-8.400000e-01,-1.838957e-01,0.000000e+00,-5.232213e-03,0.000000e+00,-8.063199e-02,0.000000e+00
-8.300000e-01,-1.815974e-01,0.000000e+00,-5.297317e-03,0.000000e+00,-7.967444e-02,0.000000e+00
-8.200000e-01,-1.792969e-01,0.000000e+00,-5.364083e-03,0.000000e+00,-7.871679e-02,0.000000e+00
-8.100000e-01,-1.769940e-01,0.000000e+00,-5.432576e-03,0.000000e+00,-7.775907e-02,0.000000e+00
-8.000000e-01,-1.746886e-01,0.000000e+00,-5.502865e-03,0.000000e+00,-7.680125e-02,0.000000e+00
-7.900000e-01,-1.723807e-01,0.000000e+00,-5.575021e-03,0.000000e+00,-7.584335e-02,0.000000e+00
-7.800000e-01,-1.700702e-01,0.000000e+00,-5.649122e-03,0.000000e+00,-7.488537e-02,0.000000e+00
-7.700000e-01,-1.677571e-01,0.000000e+00,-5.725247e-03,0.000000e+00,-7.392731e-02,0.000000e+00
-7.600000e-01,-1.654413e-01,0.000000e+00,-5.803482e-03,0.000000e+00,-7.296916e-02,0.000000e+00
-7.500000e-01,-1.631227e-01,0.000000e+00,-5.883915e-03,0.000000e+00,-7.201094e-02,0.000000e+00
-7.400000e-01,-1.608011e-01,0.000000e+00,-5.966641e-03,0.000000e+00,-7.105264e-02,0.000000e+00
-7.300000e-01,-1.584766e-01,0.000000e+00,-6.051761e-03,0.000000e+00,-7.009427e-02,0.000000e+00
-7.200000e-01,-1.561490e-01,0.000000e+00,-6.139381e-03,0.000000e+00,-6.913581e-02,0.000000e+00
-7.100000e-01,-1.538182e-01,0.000000e+00,-6.229613e-03,0.000000e+00,-6.817729e-02,0.000000e+00
-7.000000e-01,-1.514842e-01,0.000000e+00,-6.322577e-03,0.000000e+00,-6.721869e-02,0.000000e+00
-6.900000e-01,-1.491467e-01,0.000000e+00,-6.418399e-03,0.000000e+00,-6.626002e-02,0.000000e+00
-6.800000e-01,-1.468056e-01,0.000000e+00,-6.517213e-03,0.000000e+00,-6.530127e-02,0.000000e+00
-6.700000e-01,-1.444609e-01,0.000000e+00,-6.619163e-03,0.000000e+00,-6.434246e-02,0.000000e+00
-6.600000e-01,-1.421124e-01,0.000000e+00,-6.724400e-03,0.000000e+00,-6.338358e-02,0.000000e+00
-6.500000e-01,-1.397599e-01,0.000000e+00,-6.833086e-03,0.000000e+00,-6.242463e-02,0.000000e+00
-6.400000e-01,-1.374032e-01,0.000000e+00,-6.945395e-03,0.000000e+00,-6.146562e-02,0.000000e+00
-6.300000e-01,-1.350422e-01,0.000000e+00,-7.061508e-03,0.000000e+00,-6.050654e-02,0.000000e+00
-6.200000e-01,-1.326768e-01,0.000000e+00,-7.181623e-03,0.000000e+00,-5.954740e-02,0.000000e+00
-6.100000e-01,-1.303066e-01,0.000000e+00,-7.305948e-03,0.000000e+00,-5.858819e-02,0.000000e+00
-6.000000e-01,-1.279315e-01,0.000000e+00,-7.434708e-03,0.000000e+00,-5.762893e-02,0.000000e+00
-5.900000e-01,-1.255513e-01,0.000000e+00,-7.568141e-03,0.000000e+00,-5.666960e-02,0.000000e+00
-5.800000e-01,-1.231656e-01,0.000000e+00,-7.706502e-03,0.000000e+00,-5.571021e-02,0.000000e+00
-5.700000e-01,-1.207743e-01,0.000000e+00,-7.850064e-03,0.000000e+00,-5.475077e-02,0.000000e+00
-5.600000e-01,-1.183771e-01,0.000000e+00,-7.999121e-03,0.000000e+00,-5.379126e-02,0.000000e+00
-5.500000e-01,-1.159736e-01,0.000000e+00,-8.153983e-03,0.000000e+00,-5.283171e-02,0.000000e+00
-5.400000e-01,-1.135635e-01,0.000000e+00,-8.314985e-03,0.000000e+00,-5.187209e-02,0.000000e+00
-5.300000e-01,-1.111465e-01,0.000000e+00,-8.482484e-03,0.000000e+00,-5.091243e-02,0.000000e+00
-5.200000e-01,-1.087222e-01,0.000000e+00,-8.656861e-03,0.000000e+00,-4.995271e-02,0.000000e+00
-5.100000e-01,-1.062902e-01,0.000000e+00,-8.838523e-03,0.000000e+00,-4.899293e-02,0.000000e+00
-5.000000e-01,-1.038500e-01,0.000000e+00,-9.027900e-03,0.000000e+00,-4.803311e-02,0.000000e+00
-4.900000e-01,-1.014013e-01,0.000000e+00,-9.225450e-03,0.000000e+00,-4.707324e-02,0.000000e+00
-4.800000e-01,-9.894360e-02,0.000000e+00,-9.431655e-03,0.000000e+00,-4.611332e-02,0.000000e+00
-4.700000e-01,-9.647631e-02,0.000000e+00,-9.647020e-03,0.000000e+00,-4.515335e-02,0.000000e+00
-4.600000e-01,-9.399898e-02,0.000000e+00,-9.872069e-03,0.000000e+00,-4.419334e-02,0.000000e+00
-4.500000e-01,-9.151105e-02,0.000000e+00,-1.010734e-02,0.000000e+00,-4.323328e-02,0.000000e+00
-4.400000e-01,-8.901201e-02,0.000000e+00,-1.035337e-02,0.000000e+00,-4.227317e-02,0.000000e+00
-4.300000e-01,-8.650134e-02,0.000000e+00,-1.061068e-02,0.000000e+00,-4.131302e-02,0.000000e+00
-4.200000e-01,-8.397855e-02,0.000000e+00,-1.087976e-02,0.000000e+00,-4.035283e-02,0.000000e+00
-4.100000e-01,-8.144325e-02,0.000000e+00,-1.116103e-02,0.000000e+00,-3.939260e-02,0.000000e+00
-4.000000e-01,-7.889515e-02,0.000000e+00,-1.145477e-02,0.000000e+00,-3.843233e-02,0.000000e+00
-3.900000e-01,-7.633415e-02,0.000000e+00,-1.176109e-02,0.000000e+00,-3.747202e-02,0.000000e+00
-3.800000e-01,-7.376046e-02,0.000000e+00,-1.207979e-02,0.000000e+00,-3.651167e-02,0.000000e+00
-3.700000e-01,-7.117473e-02,0.000000e+00,-1.241024e-02,0.000000e+00,-3.555129e-02,0.000000e+00
-3.600000e-01,-6.857820e-02,0.000000e+00,-1.275118e-02,0.000000e+00,-3.459087e-02,0.000000e+00
-3.500000e-01,-6.597301e-02,0.000000e+00,-1.310050e-02,0.000000e+00,-3.363041e-02,0.000000e+00
-3.400000e-01,-6.336245e-02,0.000000e+00,-1.345492e-02,0.000000e+00,-3.266992e-02,0.000000e+00
-3.300000e-01,-6.075136e-02,0.000000e+00,-1.380959e-02,0.000000e+00,-3.170939e-02,0.000000e+00
-3.200000e-01,-5.814643e-02,0.000000e+00,-1.415785e-02,0.000000e+00,-3.074884e-02,0.000000e+00
-3.100000e-01,-5.555650e-02,0.000000e+00,-1.449085e-02,0.000000e+00,-2.978825e-02,0.000000e+00
-3.000000e-01,-5.299252e-02,0.000000e+00,-1.479764e-02,0.000000e+00,-2.882763e-02,0.000000e+00
-2.900000e-01,-5.046716e-02,0.000000e+00,-1.506559e-02,0.000000e+00,-2.786699e-02,0.000000e+00
-2.800000e-01,-4.799377e-02,0.000000e+00,-1.528134e-02,0.000000e+00,-2.690631e-02,0.000000e+00
-2.700000e-01,-4.558497e-02,0.000000e+00,-1.543228e-02,0.000000e+00,-2.594561e-02,0.000000e+00
