k,mag,ang,re,im
1.000000e+00,5.000000e+01,1.800000e+02,-5.000000e+01,0.000000e+00
2.000000e+00,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
3.000000e+00,1.666667e-01,1.800000e+02,-1.666667e-01,0.000000e+00
4.000000e+00,5.011083e+01,1.800000e+02,-5.011083e+01,0.000000e+00
5.000000e+00,1.971850e+01,1.800000e+02,-1.971850e+01,0.000000e+00
6.000000e+00,3.373443e-01,1.800000e+02,-3.373443e-01,0.000000e+00
7.000000e+00,5.022037e+01,1.800000e+02,-5.022037e+01,0.000000e+00
8.000000e+00,1.943400e+01,1.800000e+02,-1.943400e+01,0.000000e+00
9.000000e+00,5.123043e-01,1.800000e+02,-5.123043e-01,0.000000e+00
1.000000e+01,5.032866e+01,1.800000e+02,-5.032866e+01,0.000000e+00
1.100000e+01,1.914616e+01,1.800000e+02,-1.914616e+01,0.000000e+00
1.200000e+01,6.918496e-01,1.800000e+02,-6.918496e-01,0.000000e+00
1.300000e+01,5.043574e+01,1.800000e+02,-5.043574e+01,0.000000e+00
1.400000e+01,1.885461e+01,1.800000e+02,-1.885461e+01,0.000000e+00
1.500000e+01,8.763202e-01,1.800000e+02,-8.763202e-01,0.000000e+00
1.600000e+01,5.054164e+01,1.800000e+02,-5.054164e+01,0.000000e+00
1.700000e+01,1.855893e+01,1.800000e+02,-1.855893e+01,0.000000e+00
1.800000e+01,1.066100e+00,1.800000e+02,-1.066100e+00,0.000000e+00
1.900000e+01,5.064640e+01,1.800000e+02,-5.064640e+01,0.000000e+00
2.000000e+01,1.825864e+01,1.800000e+02,-1.825864e+01,0.000000e+00
2.100000e+01,1.261623e+00,1.800000e+02,-1.261623e+00,0.000000e+00
2.200000e+01,5.075005e+01,1.800000e+02,-5.075005e+01,0.000000e+00
2.300000e+01,1.795322e+01,1.800000e+02,-1.795322e+01,0.000000e+00
2.400000e+01,1.463389e+00,1.800000e+02,-1.463389e+00,0.000000e+00
2.500000e+01,5.085263e+01,1.800000e+02,-5.085263e+01,0.000000e+00
2.600000e+01,1.764207e+01,1.800000e+02,-1.764207e+01,0.000000e+00
2.700000e+01,1.671969e+00,1.800000e+02,-1.671969e+00,0.000000e+00
2.800000e+01,5.095415e+01,1.800000e+02,-5.095415e+01,0.000000e+00
2.900000e+01,1.732449e+01,1.800000e+02,-1.732449e+01,0.000000e+00
3.000000e+01,1.888029e+00,1.800000e+02,-1.888029e+00,0.000000e+00
3.100000e+01,5.105465e+01,1.800000e+02,-5.105465e+01,0.000000e+00
3.200000e+01,1.699967e+01,1.800000e+02,-1.699967e+01,0.000000e+00
3.300000e+01,2.112349e+00,1.800000e+02,-2.112349e+00,0.000000e+00
3.400000e+01,5.115415e+01,1.800000e+02,-5.115415e+01,0.000000e+00
3.500000e+01,1.666667e+01,1.800000e+02,-1.666667e+01,0.000000e+00
3.600000e+01,2.345851e+00,1.800000e+02,-2.345851e+00,0.000000e+00
3.700000e+01,5.125268e+01,1.800000e+02,-5.125268e+01,0.000000e+00
3.800000e+01,1.632434e+01,1.800000e+02,-1.632434e+01,0.000000e+00
3.900000e+01,2.589642e+00,1.800000e+02,-2.589642e+00,0.000000e+00
4.000000e+01,5.135027e+01,1.800000e+02,-5.135027e+01,0.000000e+00
4.100000e+01,1.597133e+01,1.800000e+02,-1.597133e+01,0.000000e+00
4.200000e+01,2.845071e+00,1.800000e+02,-2.845071e+00,0.000000e+00
4.300000e+01,5.144693e+01,1.800000e+02,-5.144693e+01,0.000000e+00
