t,r
0.000000e+00,0.000000e+00
3.333333e-02,7.931757e-06
6.666667e-02,5.393536e-05
1.000000e-01,1.579295e-04
1.333333e-01,3.292266e-04
1.666667e-01,5.708703e-04
2.000000e-01,8.832775e-04
2.333333e-01,1.265682e-03
2.666667e-01,1.715925e-03
3.000000e-01,2.231711e-03
3.333333e-01,2.810805e-03
3.666667e-01,3.450326e-03
4.000000e-01,4.147552e-03
4.333333e-01,4.899970e-03
4.666667e-01,5.704608e-03
5.000000e-01,6.558668e-03
5.333333e-01,7.459552e-03
5.666667e-01,8.404320e-03
6.000000e-01,9.390175e-03
6.333333e-01,1.041450e-02
6.666667e-01,1.147444e-02
7.000000e-01,1.256724e-02
7.333333e-01,1.369031e-02
7.666667e-01,1.484088e-02
8.000000e-01,1.601631e-02
8.333333e-01,1.721406e-02
8.666667e-01,1.843151e-02
9.000000e-01,1.966611e-02
9.333333e-01,2.091543e-02
9.666667e-01,2.217700e-02
1.000000e+00,2.344842e-02
1.033333e+00,2.472738e-02
1.066667e+00,2.601158e-02
1.100000e+00,2.729879e-02
1.133333e+00,2.858686e-02
1.166667e+00,2.987367e-02
1.200000e+00,3.115717e-02
1.233333e+00,3.243539e-02
1.266667e+00,3.370639e-02
1.300000e+00,3.496836e-02
1.333333e+00,3.621946e-02
1.366667e+00,3.745801e-02
1.400000e+00,3.868237e-02
1.433333e+00,3.989093e-02
1.466667e+00,4.108219e-02
1.500000e+00,4.225474e-02
1.533333e+00,4.340719e-02
1.566667e+00,4.453823e-02
1.600000e+00,4.564669e-02
1.633333e+00,4.673137e-02
1.666667e+00,4.779118e-02
1.700000e+00,4.882517e-02
1.733333e+00,4.983235e-02
1.766667e+00,5.081183e-02
1.800000e+00,5.176288e-02
1.833333e+00,5.268472e-02
1.866667e+00,5.357666e-02
1.900000e+00,5.443819e-02
1.933333e+00,5.526870e-02
1.966667e+00,5.606772e-02
2.000000e+00,5.683492e-02
2.033333e+00,5.756991e-02
2.066667e+00,5.827238e-02
2.100000e+00,5.894219e-02
2.133333e+00,5.957915e-02
2.166667e+00,6.018309e-02
2.200000e+00,6.075408e-02
2.233333e+00,6.129208e-02
2.266667e+00,6.179709e-02
2.300000e+00,6.226933e-02
2.333333e+00,6.270892e-02
2.366667e+00,6.311601e-02
2.400000e+00,6.349096e-02
2.433333e+00,6.383403e-02
2.466667e+00,6.414551e-02
2.500000e+00,6.442588e-02
2.533333e+00,6.467553e-02
2.566667e+00,6.489486e-02
2.600000e+00,6.508446e-02
2.633333e+00,6.524485e-02
2.666667e+00,6.537651e-02
2.700000e+00,6.548013e-02
2.733333e+00,6.555633e-02
2.766667e+00,6.560565e-02
2.800000e+00,6.562890e-02
2.833333e+00,6.562673e-02
2.866667e+00,6.559979e-02
2.900000e+00,6.554892e-02
2.933333e+00,6.547486e-02
2.966667e+00,6.537829e-02
3.000000e+00,6.526010e-02
3.033333e+00,6.512107e-02
3.066667e+00,6.496194e-02
3.100000e+00,6.478361e-02
3.133333e+00,6.458690e-02
3.166667e+00,6.437257e-02
3.200000e+00,6.414154e-02
3.233333e+00,6.389464e-02
3.266667e+00,6.363264e-02
3.300000e+00,6.335647e-02
3.333333e+00,6.306696e-02
3.366667e+00,6.276489e-02
3.400000e+00,6.245116e-02
3.433333e+00,6.212659e-02
3.466667e+00,6.179196e-02
3.500000e+00,6.144814e-02
3.533333e+00,6.109594e-02
3.566667e+00,6.073612e-02
3.600000e+00,6.036950e-02
3.633333e+00,5.999686e-02
3.666667e+00,5.961895e-02
3.700000e+00,5.923653e-02
3.733333e+00,5.885035e-02
3.766667e+00,5.846112e-02
3.800000e+00,5.806956e-02
3.833333e+00,5.767635e-02
3.866667e+00,5.728218e-02
3.900000e+00,5.688770e-02
3.933333e+00,5.649354e-02
3.966667e+00,5.610034e-02
4.000000e+00,5.570870e-02
4.033333e+00,5.531918e-02
4.066667e+00,5.493237e-02
4.100000e+00,5.454880e-02
4.133333e+00,5.416898e-02
4.166667e+00,5.379344e-02
4.200000e+00,5.342264e-02
4.233333e+00,5.305703e-02
4.266667e+00,5.269708e-02
4.300000e+00,5.234317e-02
4.333333e+00,5.199571e-02
4.366667e+00,5.165508e-02
4.400000e+00,5.132162e-02
4.433333e+00,5.099565e-02
4.466667e+00,5.067750e-02
4.500000e+00,5.036746e-02
4.533333e+00,5.006576e-02
4.566667e+00,4.977269e-02
4.600000e+00,4.948845e-02
4.633333e+00,4.921323e-02
4.666667e+00,4.894725e-02
4.700000e+00,4.869065e-02
4.733333e+00,4.844356e-02
4.766667e+00,4.820614e-02
4.800000e+00,4.797847e-02
4.833333e+00,4.776063e-02
4.866667e+00,4.755271e-02
4.900000e+00,4.735475e-02
4.933333e+00,4.716677e-02
4.966667e+00,4.698881e-02
5.000000e+00,4.682087e-02
5.033333e+00,4.666290e-02
5.066667e+00,4.651489e-02
5.100000e+00,4.637680e-02
5.133333e+00,4.624855e-02
5.166667e+00,4.613008e-02
5.200000e+00,4.602129e-02
5.233333e+00,4.592207e-02
5.266667e+00,4.583232e-02
5.300000e+00,4.575192e-02
5.333333e+00,4.568070e-02
5.366667e+00,4.561853e-02
5.400000e+00,4.556527e-02
5.433333e+00,4.552070e-02
5.466667e+00,4.548468e-02
5.500000e+00,4.545702e-02
5.533333e+00,4.543751e-02
5.566667e+00,4.542595e-02
5.600000e+00,4.542215e-02
5.633333e+00,4.542586e-02
5.666667e+00,4.543687e-02
5.700000e+00,4.545498e-02
5.733333e+00,4.547991e-02
5.766667e+00,4.551145e-02
5.800000e+00,4.554936e-02
5.833333e+00,4.559338e-02
5.866667e+00,4.564327e-02
5.900000e+00,4.569879e-02
5.933333e+00,4.575968e-02
5.966667e+00,4.582568e-02
6.000000e+00,4.589654e-02
6.033333e+00,4.597201e-02
6.066667e+00,4.605183e-02
6.100000e+00,4.613575e-02
6.133333e+00,4.622351e-02
6.166667e+00,4.631485e-02
6.200000e+00,4.640953e-02
6.233333e+00,4.650730e-02
6.266667e+00,4.660790e-02
6.300000e+00,4.671111e-02
6.333333e+00,4.681665e-02
6.366667e+00,4.692431e-02
6.400000e+00,4.703385e-02
6.433333e+00,4.714502e-02
