t,r
0.000000e+00,0.000000e+00
3.333333e-02,1.328774e-02
6.666667e-02,4.067141e-02
1.000000e-01,6.553822e-02
1.333333e-01,7.716029e-02
1.666667e-01,7.351768e-02
2.000000e-01,6.002246e-02
2.333333e-01,4.518287e-02
2.666667e-01,3.604838e-02
3.000000e-01,3.533975e-02
3.333333e-01,4.130435e-02
3.666667e-01,4.961183e-02
4.000000e-01,5.592552e-02
4.333333e-01,5.788522e-02
4.666667e-01,5.567560e-02
5.000000e-01,5.131640e-02
5.333333e-01,4.731021e-02
5.666667e-01,4.537874e-02
6.000000e-01,4.588548e-02
6.333333e-01,4.800422e-02
6.666667e-01,5.037838e-02
7.000000e-01,5.187396e-02
7.333333e-01,5.202941e-02
7.666667e-01,5.110433e-02
8.000000e-01,4.978292e-02
8.333333e-01,4.875880e-02
8.666667e-01,4.842347e-02
9.000000e-01,4.875789e-02
9.333333e-01,4.944665e-02
9.666667e-01,5.009157e-02
1.000000e+00,5.041146e-02
1.033333e+00,5.034205e-02
1.066667e+00,5.001022e-02
1.100000e+00,4.963038e-02
1.133333e+00,4.938619e-02
1.166667e+00,4.935451e-02
1.200000e+00,4.949756e-02
1.233333e+00,4.970773e-02
1.266667e+00,4.987345e-02
1.300000e+00,4.993085e-02
1.333333e+00,4.988045e-02
1.366667e+00,4.977164e-02
1.400000e+00,4.966793e-02
1.433333e+00,4.961490e-02
1.466667e+00,4.962418e-02
1.500000e+00,4.967615e-02
1.533333e+00,4.973688e-02
1.566667e+00,4.977675e-02
1.600000e+00,4.978285e-02
1.633333e+00,4.976076e-02
1.666667e+00,4.972736e-02
1.700000e+00,4.970055e-02
1.733333e+00,4.969082e-02
1.766667e+00,4.969836e-02
1.800000e+00,4.971554e-02
1.833333e+00,4.973220e-02
1.866667e+00,4.974096e-02
1.900000e+00,4.973979e-02
1.933333e+00,4.973165e-02
1.966667e+00,4.972195e-02
2.000000e+00,4.971545e-02
2.033333e+00,4.971430e-02
2.066667e+00,4.971771e-02
2.100000e+00,4.972301e-02
2.133333e+00,4.972735e-02
2.166667e+00,4.972900e-02
2.200000e+00,4.972787e-02
2.233333e+00,4.972516e-02
2.266667e+00,4.972248e-02
2.300000e+00,4.972104e-02
2.333333e+00,4.972118e-02
2.366667e+00,4.972245e-02
2.400000e+00,4.972400e-02
2.433333e+00,4.972506e-02
2.466667e+00,4.972527e-02
2.500000e+00,4.972474e-02
2.533333e+00,4.972390e-02
2.566667e+00,4.972320e-02
2.600000e+00,4.972292e-02
2.633333e+00,4.972309e-02
2.666667e+00,4.972352e-02
2.700000e+00,4.972395e-02
2.733333e+00,4.972419e-02
2.766667e+00,4.972417e-02
2.800000e+00,4.972397e-02
2.833333e+00,4.972373e-02
2.866667e+00,4.972355e-02
2.900000e+00,4.972352e-02
2.933333e+00,4.972360e-02
2.966667e+00,4.972373e-02
3.000000e+00,4.972384e-02
3.033333e+00,4.972389e-02
3.066667e+00,4.972386e-02
3.100000e+00,4.972380e-02
3.133333e+00,4.972373e-02
3.166667e+00,4.972369e-02
3.200000e+00,4.972369e-02
3.233333e+00,4.972372e-02
3.266667e+00,4.972376e-02
3.300000e+00,4.972379e-02
3.333333e+00,4.972380e-02
3.366667e+00,4.972378e-02
3.400000e+00,4.972376e-02
3.433333e+00,4.972374e-02
3.466667e+00,4.972374e-02
3.500000e+00,4.972374e-02
3.533333e+00,4.972375e-02
3.566667e+00,4.972376e-02
3.600000e+00,4.972377e-02
3.633333e+00,4.972377e-02
3.666667e+00,4.972376e-02
3.700000e+00,4.972376e-02
3.733333e+00,4.972375e-02
3.766667e+00,4.972375e-02
3.800000e+00,4.972375e-02
3.833333e+00,4.972376e-02
3.866667e+00,4.972376e-02
3.900000e+00,4.972376e-02
3.933333e+00,4.972376e-02
3.966667e+00,4.972376e-02
4.000000e+00,4.972376e-02
4.033333e+00,4.972376e-02
4.066667e+00,4.972376e-02
4.100000e+00,4.972376e-02
4.133333e+00,4.972376e-02
4.166667e+00,4.972376e-02
4.200000e+00,4.972376e-02
4.233333e+00,4.972376e-02
4.266667e+00,4.972376e-02
4.300000e+00,4.972376e-02
4.333333e+00,4.972376e-02
4.366667e+00,4.972376e-02
4.400000e+00,4.972376e-02
4.433333e+00,4.972376e-02
4.466667e+00,4.972376e-02
4.500000e+00,4.972376e-02
4.533333e+00,4.972376e-02
4.566667e+00,4.972376e-02
4.600000e+00,4.972376e-02
4.633333e+00,4.972376e-02
4.666667e+00,4.972376e-02
4.700000e+00,4.972376e-02
4.733333e+00,4.972376e-02
4.766667e+00,4.972376e-02
4.800000e+00,4.972376e-02
4.833333e+00,4.972376e-02
4.866667e+00,4.972376e-02
4.900000e+00,4.972376e-02
4.933333e+00,4.972376e-02
4.966667e+00,4.972376e-02
5.000000e+00,4.972376e-02
