f,real,imag
1.000000e-02,9.364637e-01,4.374767e-01
1.193738e-02,9.256209e-01,5.231359e-01
1.387476e-02,9.127195e-01,6.092694e-01
1.581213e-02,8.976877e-01,6.959505e-01
1.774951e-02,8.804418e-01,7.832504e-01
1.968689e-02,8.608854e-01,8.712377e-01
2.162427e-02,8.389086e-01,9.599783e-01
2.356164e-02,8.143877e-01,1.049534e+00
2.549902e-02,7.871840e-01,1.139962e+00
2.743640e-02,7.571432e-01,1.231314e+00
2.937378e-02,7.240943e-01,1.323636e+00
3.131115e-02,6.878486e-01,1.416965e+00
3.324853e-02,6.481989e-01,1.511328e+00
3.518591e-02,6.049181e-01,1.606741e+00
3.712329e-02,5.577581e-01,1.703206e+00
3.906067e-02,5.064491e-01,1.800711e+00
4.099804e-02,4.506982e-01,1.899221e+00
4.293542e-02,3.901887e-01,1.998681e+00
4.487280e-02,3.245792e-01,2.099009e+00
4.681018e-02,2.535032e-01,2.200092e+00
4.874755e-02,1.765692e-01,2.301780e+00
5.068493e-02,9.336052e-02,2.403880e+00
5.262231e-02,3.436900e-03,2.506153e+00
5.455969e-02,-9.366393e-02,2.608301e+00
5.649706e-02,-1.984232e-01,2.709962e+00
5.843444e-02,-3.113366e-01,2.810701e+00
6.037182e-02,-4.329084e-01,2.910000e+00
6.230920e-02,-5.636434e-01,3.007247e+00
6.424658e-02,-7.040358e-01,3.101726e+00
6.618395e-02,-8.545561e-01,3.192607e+00
6.812133e-02,-1.015634e+00,3.278937e+00
7.005871e-02,-1.187637e+00,3.359629e+00
7.199609e-02,-1.370847e+00,3.433459e+00
7.393346e-02,-1.565429e+00,3.499061e+00
7.587084e-02,-1.771400e+00,3.554931e+00
7.780822e-02,-1.988590e+00,3.599435e+00
7.974560e-02,-2.216602e+00,3.630824e+00
8.168297e-02,-2.454772e+00,3.647266e+00
8.362035e-02,-2.702128e+00,3.646880e+00
8.555773e-02,-2.957353e+00,3.627791e+00
8.749511e-02,-3.218758e+00,3.588195e+00
8.943249e-02,-3.484267e+00,3.526436e+00
9.136986e-02,-3.751417e+00,3.441095e+00
9.330724e-02,-4.017385e+00,3.331084e+00
9.524462e-02,-4.279034e+00,3.195743e+00
9.718200e-02,-4.532995e+00,3.034925e+00
9.911937e-02,-4.775765e+00,2.849072e+00
1.010568e-01,-5.003839e+00,2.639255e+00
1.029941e-01,-5.213849e+00,2.407191e+00
1.049315e-01,-5.402710e+00,2.155220e+00
1.068689e-01,-5.567764e+00,1.886233e+00
1.088063e-01,-5.706896e+00,1.603578e+00
1.107436e-01,-5.818627e+00,1.310923e+00
1.126810e-01,-5.902164e+00,1.012108e+00
1.146184e-01,-5.957412e+00,7.109852e-01
1.165558e-01,-5.984938e+00,4.112708e-01
1.184932e-01,-5.985909e+00,1.164135e-01
1.204305e-01,-5.961994e+00,-1.705117e-01
1.223679e-01,-5.915254e+00,-4.468753e-01
1.243053e-01,-5.848027e+00,-7.105347e-01
1.262427e-01,-5.762807e+00,-9.598433e-01
1.281800e-01,-5.662148e+00,-1.193635e+00
1.301174e-01,-5.548570e+00,-1.411186e+00
1.320548e-01,-5.424488e+00,-1.612171e+00
1.339922e-01,-5.292162e+00,-1.796598e+00
1.359295e-01,-5.153659e+00,-1.964755e+00
1.378669e-01,-5.010833e+00,-2.117150e+00
1.398043e-01,-4.865321e+00,-2.254455e+00
1.417417e-01,-4.718537e+00,-2.377460e+00
1.436791e-01,-4.571689e+00,-2.487030e+00
1.456164e-01,-4.425790e+00,-2.584074e+00
1.475538e-01,-4.281674e+00,-2.669511e+00
1.494912e-01,-4.140017e+00,-2.744256e+00
1.514286e-01,-4.001354e+00,-2.809196e+00
1.533659e-01,-3.866099e+00,-2.865185e+00
1.553033e-01,-3.734560e+00,-2.913031e+00
1.572407e-01,-3.606956e+00,-2.953495e+00
1.591781e-01,-3.483433e+00,-2.987285e+00
1.611155e-01,-3.364073e+00,-3.015056e+00
1.630528e-01,-3.248910e+00,-3.037413e+00
1.649902e-01,-3.137933e+00,-3.054909e+00
1.669276e-01,-3.031100e+00,-3.068051e+00
1.688650e-01,-2.928345e+00,-3.077300e+00
1.708023e-01,-2.829577e+00,-3.083072e+00
1.727397e-01,-2.734694e+00,-3.085748e+00
1.746771e-01,-2.643580e+00,-3.085669e+00
1.766145e-01,-2.556114e+00,-3.083144e+00
1.785519e-01,-2.472168e+00,-3.078453e+00
1.804892e-01,-2.391612e+00,-3.071846e+00
1.824266e-01,-2.314313e+00,-3.063549e+00
1.843640e-01,-2.240142e+00,-3.053764e+00
1.863014e-01,-2.168969e+00,-3.042674e+00
1.882387e-01,-2.100668e+00,-3.030441e+00
1.901761e-01,-2.035113e+00,-3.017212e+00
1.921135e-01,-1.972186e+00,-3.003119e+00
1.940509e-01,-1.911770e+00,-2.988279e+00
1.959883e-01,-1.853752e+00,-2.972798e+00
1.979256e-01,-1.798026e+00,-2.956769e+00
1.998630e-01,-1.744487e+00,-2.940277e+00
2.018004e-01,-1.693036e+00,-2.923397e+00
2.037378e-01,-1.643579e+00,-2.906197e+00
2.056751e-01,-1.596025e+00,-2.888737e+00
2.076125e-01,-1.550288e+00,-2.871070e+00
2.095499e-01,-1.506286e+00,-2.853245e+00
2.114873e-01,-1.463940e+00,-2.835304e+00
2.134247e-01,-1.423176e+00,-2.817285e+00
2.153620e-01,-1.383923e+00,-2.799222e+00
2.172994e-01,-1.346113e+00,-2.781145e+00
2.192368e-01,-1.309683e+00,-2.763080e+00
2.211742e-01,-1.274572e+00,-2.745052e+00
2.231115e-01,-1.240721e+00,-2.727081e+00
2.250489e-01,-1.208077e+00,-2.709185e+00
2.269863e-01,-1.176585e+00,-2.691381e+00
2.289237e-01,-1.146198e+00,-2.673682e+00
2.308611e-01,-1.116868e+00,-2.656103e+00
2.327984e-01,-1.088549e+00,-2.638652e+00
2.347358e-01,-1.061200e+00,-2.621339e+00
2.366732e-01,-1.034780e+00,-2.604174e+00
2.386106e-01,-1.009251e+00,-2.587162e+00
2.405479e-01,-9.845745e-01,-2.570309e+00
2.424853e-01,-9.607173e-01,-2.553621e+00
2.444227e-01,-9.376459e-01,-2.537102e+00
2.463601e-01,-9.153287e-01,-2.520755e+00
2.482975e-01,-8.937356e-01,-2.504582e+00
2.502348e-01,-8.728381e-01,-2.488587e+00
2.521722e-01,-8.526089e-01,-2.472770e+00
2.541096e-01,-8.330220e-01,-2.457132e+00
2.560470e-01,-8.140527e-01,-2.441675e+00
2.579843e-01,-7.956774e-01,-2.426399e+00
2.599217e-01,-7.778736e-01,-2.411303e+00
2.618591e-01,-7.606197e-01,-2.396387e+00
2.637965e-01,-7.438953e-01,-2.381651e+00
2.657339e-01,-7.276808e-01,-2.367094e+00
2.676712e-01,-7.119575e-01,-2.352714e+00
2.696086e-01,-6.967075e-01,-2.338511e+00
2.715460e-01,-6.819138e-01,-2.324483e+00
2.734834e-01,-6.675601e-01,-2.310628e+00
2.754207e-01,-6.536307e-01,-2.296946e+00
2.773581e-01,-6.401107e-01,-2.283433e+00
2.792955e-01,-6.269859e-01,-2.270088e+00
2.812329e-01,-6.142424e-01,-2.256910e+00
2.831703e-01,-6.018672e-01,-2.243896e+00
2.851076e-01,-5.898478e-01,-2.231043e+00
2.870450e-01,-5.781722e-01,-2.218351e+00
2.889824e-01,-5.668287e-01,-2.205817e+00
2.909198e-01,-5.558063e-01,-2.193438e+00
2.928571e-01,-5.450945e-01,-2.181213e+00
2.947945e-01,-5.346829e-01,-2.169139e+00
2.967319e-01,-5.245619e-01,-2.157214e+00
2.986693e-01,-5.147221e-01,-2.145435e+00
3.006067e-01,-5.051544e-01,-2.133801e+00
3.025440e-01,-4.958502e-01,-2.122309e+00
3.044814e-01,-4.868011e-01,-2.110958e+00
3.064188e-01,-4.779992e-01,-2.099744e+00
3.083562e-01,-4.694367e-01,-2.088665e+00
3.102935e-01,-4.611063e-01,-2.077720e+00
3.122309e-01,-4.530008e-01,-2.066906e+00
3.141683e-01,-4.451133e-01,-2.056221e+00
3.161057e-01,-4.374373e-01,-2.045663e+00
3.180431e-01,-4.299663e-01,-2.035230e+00
3.199804e-01,-4.226943e-01,-2.024919e+00
3.219178e-01,-4.156153e-01,-2.014729e+00
3.238552e-01,-4.087237e-01,-2.004658e+00
3.257926e-01,-4.020139e-01,-1.994703e+00
3.277299e-01,-3.954807e-01,-1.984863e+00
3.296673e-01,-3.891189e-01,-1.975136e+00
3.316047e-01,-3.829236e-01,-1.965519e+00
3.335421e-01,-3.768901e-01,-1.956012e+00
3.354795e-01,-3.710137e-01,-1.946611e+00
3.374168e-01,-3.652901e-01,-1.937316e+00
3.393542e-01,-3.597149e-01,-1.928124e+00
3.412916e-01,-3.542840e-01,-1.919033e+00
3.432290e-01,-3.489934e-01,-1.910042e+00
3.451663e-01,-3.438391e-01,-1.901150e+00
3.471037e-01,-3.388176e-01,-1.892354e+00
3.490411e-01,-3.339251e-01,-1.883653e+00
3.509785e-01,-3.291582e-01,-1.875045e+00
3.529159e-01,-3.245134e-01,-1.866529e+00
3.548532e-01,-3.199875e-01,-1.858103e+00
3.567906e-01,-3.155773e-01,-1.849766e+00
3.587280e-01,-3.112797e-01,-1.841515e+00
3.606654e-01,-3.070918e-01,-1.833350e+00
3.626027e-01,-3.030106e-01,-1.825270e+00
3.645401e-01,-2.990334e-01,-1.817272e+00
3.664775e-01,-2.951575e-01,-1.809355e+00
3.684149e-01,-2.913802e-01,-1.801518e+00
3.703523e-01,-2.876989e-01,-1.793760e+00
3.722896e-01,-2.841113e-01,-1.786079e+00
3.742270e-01,-2.806150e-01,-1.778474e+00
3.761644e-01,-2.772075e-01,-1.770944e+00
3.781018e-01,-2.738866e-01,-1.763487e+00
3.800391e-01,-2.706502e-01,-1.756103e+00
3.819765e-01,-2.674962e-01,-1.748790e+00
3.839139e-01,-2.644224e-01,-1.741546e+00
3.858513e-01,-2.614268e-01,-1.734371e+00
3.877886e-01,-2.585076e-01,-1.727264e+00
3.897260e-01,-2.556628e-01,-1.720224e+00
3.916634e-01,-2.528907e-01,-1.713249e+00
3.936008e-01,-2.501893e-01,-1.706338e+00
3.955382e-01,-2.475570e-01,-1.699491e+00
3.974755e-01,-2.449921e-01,-1.692706e+00
3.994129e-01,-2.424929e-01,-1.685983e+00
4.013503e-01,-2.400579e-01,-1.679319e+00
4.032877e-01,-2.376855e-01,-1.672716e+00
4.052250e-01,-2.353742e-01,-1.666170e+00
4.071624e-01,-2.331225e-01,-1.659682e+00
4.090998e-01,-2.309291e-01,-1.653251e+00
4.110372e-01,-2.287925e-01,-1.646876e+00
4.129746e-01,-2.267113e-01,-1.640555e+00
4.149119e-01,-2.246843e-01,-1.634288e+00
4.168493e-01,-2.227101e-01,-1.628075e+00
4.187867e-01,-2.207876e-01,-1.621914e+00
4.207241e-01,-2.189155e-01,-1.615805e+00
4.226614e-01,-2.170926e-01,-1.609746e+00
4.245988e-01,-2.153178e-01,-1.603737e+00
4.265362e-01,-2.135899e-01,-1.597778e+00
4.284736e-01,-2.119079e-01,-1.591867e+00
4.304110e-01,-2.102706e-01,-1.586004e+00
4.323483e-01,-2.086772e-01,-1.580188e+00
4.342857e-01,-2.071264e-01,-1.574418e+00
4.362231e-01,-2.056174e-01,-1.568694e+00
4.381605e-01,-2.041492e-01,-1.563015e+00
4.400978e-01,-2.027208e-01,-1.557380e+00
4.420352e-01,-2.013314e-01,-1.551789e+00
4.439726e-01,-1.999800e-01,-1.546241e+00
4.459100e-01,-1.986657e-01,-1.540736e+00
4.478474e-01,-1.973878e-01,-1.535272e+00
4.497847e-01,-1.961453e-01,-1.529850e+00
4.517221e-01,-1.949376e-01,-1.524468e+00
4.536595e-01,-1.937637e-01,-1.519126e+00
4.555969e-01,-1.926229e-01,-1.513824e+00
4.575342e-01,-1.915145e-01,-1.508561e+00
4.594716e-01,-1.904377e-01,-1.503336e+00
4.614090e-01,-1.893919e-01,-1.498149e+00
4.633464e-01,-1.883762e-01,-1.492999e+00
4.652838e-01,-1.873901e-01,-1.487886e+00
4.672211e-01,-1.864328e-01,-1.482810e+00
4.691585e-01,-1.855037e-01,-1.477769e+00
4.710959e-01,-1.846022e-01,-1.472764e+00
4.730333e-01,-1.837277e-01,-1.467793e+00
4.749706e-01,-1.828795e-01,-1.462857e+00
4.769080e-01,-1.820570e-01,-1.457955e+00
4.788454e-01,-1.812597e-01,-1.453087e+00
4.807828e-01,-1.804871e-01,-1.448251e+00
4.827202e-01,-1.797384e-01,-1.443448e+00
4.846575e-01,-1.790133e-01,-1.438677e+00
4.865949e-01,-1.783111e-01,-1.433938e+00
4.885323e-01,-1.776314e-01,-1.429231e+00
4.904697e-01,-1.769736e-01,-1.424554e+00
4.924070e-01,-1.763373e-01,-1.419908e+00
