k,mag,ang,re,im
1.000000e+00,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
2.000000e+00,3.580787e+01,1.800000e+02,-3.580787e+01,0.000000e+00
3.000000e+00,3.207341e+01,1.800000e+02,-3.207341e+01,0.000000e+00
4.000000e+00,5.080111e+00,9.225401e+01,-1.997996e-01,5.076181e+00
5.000000e+00,5.080111e+00,-9.225401e+01,-1.997996e-01,-5.076181e+00
6.000000e+00,3.871988e+00,1.800000e+02,-3.871988e+00,0.000000e+00
7.000000e+00,7.372231e-02,1.800000e+02,-7.372231e-02,0.000000e+00
8.000000e+00,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
9.000000e+00,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
1.000000e+01,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
1.100000e+01,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
1.200000e+01,3.612394e+01,1.800000e+02,-3.612394e+01,0.000000e+00
1.300000e+01,3.215081e+01,1.800000e+02,-3.215081e+01,0.000000e+00
1.400000e+01,1.890474e+01,1.800000e+02,-1.890474e+01,0.000000e+00
1.500000e+01,5.086370e+00,9.162017e+01,-1.438100e-01,5.084337e+00
1.600000e+01,5.086370e+00,-9.162017e+01,-1.438100e-01,-5.084337e+00
1.700000e+01,3.954127e+00,1.800000e+02,-3.954127e+00,0.000000e+00
1.800000e+01,8.053463e-01,1.800000e+02,-8.053463e-01,0.000000e+00
1.900000e+01,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
2.000000e+01,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
2.100000e+01,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
2.200000e+01,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
2.300000e+01,3.642370e+01,1.800000e+02,-3.642370e+01,0.000000e+00
2.400000e+01,3.220953e+01,1.800000e+02,-3.220953e+01,0.000000e+00
2.500000e+01,1.776601e+01,1.800000e+02,-1.776601e+01,0.000000e+00
2.600000e+01,5.108793e+00,9.101600e+01,-9.058736e-02,5.107990e+00
2.700000e+01,5.108793e+00,-9.101600e+01,-9.058736e-02,-5.107990e+00
2.800000e+01,4.100028e+00,1.800000e+02,-4.100028e+00,0.000000e+00
2.900000e+01,1.546150e+00,1.800000e+02,-1.546150e+00,0.000000e+00
3.000000e+01,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
3.100000e+01,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
3.200000e+01,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
3.300000e+01,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
3.400000e+01,3.670804e+01,1.800000e+02,-3.670804e+01,0.000000e+00
3.500000e+01,3.225541e+01,1.800000e+02,-3.225541e+01,0.000000e+00
3.600000e+01,1.654520e+01,1.800000e+02,-1.654520e+01,0.000000e+00
3.700000e+01,5.144568e+00,9.051417e+01,-4.616664e-02,5.144361e+00
3.800000e+01,5.144568e+00,-9.051417e+01,-4.616664e-02,-5.144361e+00
3.900000e+01,4.390309e+00,1.800000e+02,-4.390309e+00,0.000000e+00
4.000000e+01,2.235289e+00,1.800000e+02,-2.235289e+00,0.000000e+00
4.100000e+01,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
4.200000e+01,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
4.300000e+01,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
4.400000e+01,2.000000e+01,1.800000e+02,-2.000000e+01,0.000000e+00
4.500000e+01,3.697813e+01,1.800000e+02,-3.697813e+01,0.000000e+00
4.600000e+01,3.229215e+01,1.800000e+02,-3.229215e+01,0.000000e+00
4.700000e+01,1.517599e+01,1.800000e+02,-1.517599e+01,0.000000e+00
4.800000e+01,5.188402e+00,9.015201e+01,-1.376489e-02,5.188383e+00
4.900000e+01,5.188402e+00,-9.015201e+01,-1.376489e-02,-5.188383e+00
